AREACD,No central heating,Mains gas only,Electric only,Oil only,Renewable energy only
E02006574,1.311640263,68.07112428,5.993845142,1.037592101,-0.023599594
E02001528,0.353790635,67.35548422,1.497557296,0.86172387,-0.143529167
E02003995,1.056930836,67.93686518,3.508651694,0.16582597,-0.007650971
E02005080,1.041958032,67.52977205,4.987821102,0.704113927,-0.201406534
E02005624,0.231318747,68.07600343,5.604416567,0.629710746,null
W02000248,1.422586298,67.62700721,4.776381524,0.6262268,null
E02001427,0.505521799,67.31003559,1.478291017,0.768029308,null
E02002798,0.644220037,67.70704294,2.25177707,null,null
E02003219,1.270085231,68.09800456,2.804281436,4.138590852,0.57267921
E02004654,1.166872634,67.90784906,6.71759922,0.838560658,0.135157385
E02004945,0.997803974,67.40138692,5.671231677,null,null
E02000757,1.37478865,67.30576592,12.95519064,null,null
E02005584,1.160692842,67.14842967,6.008175592,0.681343814,0.545959191
E02004293,0.438563327,67.53906078,1.759686976,0.251247381,null
E02007081,1.00125636,67.08754064,4.703567614,null,null
E02004400,0.259009069,67.11354859,4.225647351,1.961044883,-0.07251823
E02005390,0.807706651,67.68133252,2.864936662,0.066363369,0.24629632
E02005407,0.433994332,67.63641856,2.829784337,0.019403135,-0.13084739
E02006546,0.75593538,67.4258444,5.613861678,-0.191419514,null
E02003013,1.052340432,67.53761776,5.965980186,null,null
E02003762,0.629058867,66.83797603,4.027510603,1.859611524,0.446246082
E02005780,0.54844886,66.99259674,2.99964694,1.094622635,-0.047251361
W02000208,0.777771929,66.90301242,2.296366754,0.635358764,null
E02003288,1.860116535,66.73418007,22.99441715,null,null
E02004541,0.591762672,67.20002445,9.23119726,-0.241445507,null
E02004746,0.880993765,67.24218812,8.658028471,null,null
E02005382,0.889937483,67.29808354,4.511046605,-0.122826648,null
E02005507,0.913637369,66.98264608,10.90246098,3.424707773,0.955161662
E02002064,1.273145603,67.25745854,6.667129434,null,null
E02003293,3.122573695,67.07282145,18.71867386,null,null
E02003316,0.887408451,67.13843744,3.402826396,1.373416782,-0.107552609
E02003353,0.857834543,66.96709498,6.613258412,1.053961938,0.736129684
E02004337,0.892648918,67.33098393,2.634788264,1.195071784,-0.233325509
E02004721,0.668284317,66.99523942,2.004479519,0.361179572,null
W02000003,1.844023347,67.12456379,4.025842166,1.182091128,null
W02000426,0.612865971,67.04789642,1.928648609,0.159286798,null
E02003284,0.911957322,66.73634738,3.822665398,null,null
E02004095,1.869857238,66.95505476,6.304967439,0.004520145,0.074169528
E02005265,1.353441644,67.363178,5.743571814,-0.011637245,1.002131117
E02005280,0.961285653,67.27190197,3.100334451,0.943869291,null
E02001017,0.595822038,66.58956312,5.127785643,null,null
E02001532,0.26033791,66.9581166,2.217629563,0.749652262,0.348095739
E02002682,1.142933058,67.09781248,2.518248692,null,null
E02006556,0.830618296,67.06947819,3.064640396,0.650332355,null
E02003201,1.467028212,66.91513399,5.369376385,null,0.389746953
E02005764,0.494580124,66.85634713,3.333875632,0.795455194,0.569624602
E02006612,1.252675785,66.92926257,16.78763846,0.28763066,-0.053778472
E02001149,1.921878102,66.19237755,5.795038113,null,null
E02003243,0.75394158,66.95394709,4.230741097,0.638080767,0.179424043
E02003845,1.607284757,67.1154627,9.227939968,null,null
E02005155,0.038255732,66.30281751,1.676911115,2.957507458,0.509590922
E02001726,0.790551726,66.701929,4.209940721,null,null
E02001229,1.248156868,66.13304945,4.465541518,0.343853302,null
E02004719,0.622470495,66.28276479,4.475499368,0.41326144,0.312627141
E02005150,1.121463397,66.40516942,8.820661155,0.624716831,0.59946246
W02000228,0.20610215,66.53341934,2.02840584,0.713698702,null
E02003780,0.306942037,66.38111161,4.856245967,1.959871312,1.112651049
E02005903,1.181763686,66.75918799,3.359607839,0.891935308,-0.170300665
W02000060,1.049277015,66.32261061,1.723110877,1.677047117,-0.324789221
W02000428,0.456762547,66.79546611,0.998653075,1.282996831,0.038284712
E02002941,0.372218308,65.79085802,3.840279739,null,null
E02003773,0.521601796,65.9157305,4.550310102,0.811454098,0.222597462
W02000256,1.177889908,66.30629177,1.950230674,null,0.644591367
E02005831,0.466910711,66.63007554,3.764706287,null,null
E02006105,1.573347798,66.24587304,15.52176347,0.599081248,0.042836766
E02000123,3.407268761,66.06628518,12.86893905,0.651927412,null
E02003285,0.808402778,65.90047892,3.773329,null,null
E02003753,0.48486175,66.36915106,3.744723145,2.755816062,0.240954912
E02005426,0.806554067,66.17169761,3.517391827,2.029420828,0.312727966
E02006532,0.470992272,66.32946349,3.080107493,3.182873496,0.198626543
E02006910,0.894883978,65.908183,2.378191211,null,null
E02000567,1.771241933,65.79482699,5.864608712,null,null
E02001328,1.102184314,66.14297864,2.710752872,null,null
E02002555,1.075644837,65.57985007,2.199309925,null,null
E02005596,1.203611442,66.43471703,4.020280472,null,null
E02006881,1.788159933,66.19199946,2.807115942,null,null
E02006894,1.275832938,66.17798258,8.53460577,null,null
E02001518,0.866754628,66.06337779,2.830156027,null,-0.228474469
E02003130,1.558658163,65.85701838,3.089728251,null,null
E02003280,0.311012514,65.42281845,3.182414947,null,null
E02005210,1.354482596,65.86493988,12.15321859,0.031536693,null
E02006840,2.168440721,66.29292677,7.975038347,null,null
E02001678,0.666825006,65.75060832,2.29249869,0.597791493,0.889530464
E02003990,0.920787183,65.66064981,3.648035881,3.316843557,-0.24895967
E02004920,1.244342986,65.69661054,11.08543565,1.397150125,0.127321042
E02005264,2.032523493,66.02722883,7.877995277,null,null
E02006837,0.366895322,65.46543038,3.456901212,null,-0.239467335
W02000183,0.658392081,65.84807067,2.832993259,null,null
E02001547,0.373578726,65.54140472,1.684822833,0.617216536,null
E02005907,0.07267942,65.26985958,2.673128299,1.056282239,0.262929074
E02006152,1.035302777,65.923617,4.124723952,-0.029587381,0.048411458
E02006594,0.776920667,65.58527253,4.604029393,0.598521959,null
E02006919,0.38909143,65.48743155,3.723545948,0.676585756,0.092362662
W02000313,0.533941096,65.9508951,3.608185216,0.199631379,-0.143899964
E02002599,0.485007254,65.34815374,4.012388757,null,null
E02003425,1.252573076,65.27849093,19.45971116,0.428759231,null
E02004544,1.225164479,66.01411512,6.119430941,0.213792137,-0.096306352
W02000241,1.613280072,65.56786642,8.381938041,0.720976476,null
E02002926,1.533678549,65.87812131,10.21883396,2.093955537,0.584001354
E02003604,0.416649485,66.0020892,3.912074368,0.889765385,-0.17707595
E02004298,0.058667836,66.04558743,2.206282929,1.22896476,-0.073625961
E02004755,0.289723132,65.7087845,15.06422532,0.33987197,0.414156103
E02005030,1.41664724,65.15235039,9.253933476,null,0.019547372
W02000167,0.424495818,65.74216408,5.316887195,1.592584999,null
E02001007,0.722235821,65.71272425,3.122652011,null,null
E02001176,1.333642345,65.85118024,16.39755127,null,0.454224145
E02002746,0.845104022,65.14680689,1.27428776,0.121318275,null
E02005720,0.116533519,64.97867497,2.285246038,4.796954314,0.052583577
E02002513,0.350758607,65.26127755,2.639217699,-0.066739235,0.142822997
E02002726,0.953069595,65.40429273,1.847311248,0.98832864,0.174607396
E02003060,1.27763605,65.54180131,7.807509186,null,0.125011084
W02000311,0.506731729,64.93046722,2.080196381,null,null
E02004036,1.079373083,64.93381383,4.139603538,-0.066465998,null
E02004699,1.127077935,64.83027156,6.953239328,0.429347982,0.784020408
E02006034,0.970797626,65.75487791,5.32135427,1.840692643,0.2038824
E02006149,0.615714005,65.76891452,12.69776452,-0.011111562,0.595197562
W02000073,0.481232283,65.14749171,4.422683787,2.231549606,0.601710898
E02004684,0.604022876,65.66876775,5.096922445,0.999353528,null
E02005992,0.654415301,64.76892359,9.704029908,9.97886355,1.473881328
E02002699,0.025051068,65.01996934,2.14512422,0.354329652,0.007788909
E02001634,1.415232956,64.85912018,3.366107451,null,null
E02002598,0.157890367,64.47021317,3.124918195,null,null
E02005808,1.197078627,64.83377475,6.910819475,6.816530372,1.823627282
W02000070,-0.150968673,64.91447123,1.513700588,2.69509485,null
E02003283,1.388034533,65.15046275,4.213573465,null,null
E02006882,0.565225334,65.32841546,3.325306728,null,null
E02000131,1.859821146,64.76055362,10.58785471,null,null
E02003156,0.667949829,64.76179009,4.047929189,null,null
E02006053,0.809049957,65.19649775,4.630136054,1.922579865,null
E02006209,0.897596681,64.50952457,4.126739133,1.897447806,0.157298495
E02006833,0.38693065,64.63421883,4.160715063,5.535710244,0.25988432
E02006878,0.327703924,64.57700238,7.185917628,-0.222842463,-0.201574389
W02000234,0.587333798,64.70853543,2.626204602,0.407343662,null
E02003084,1.471117496,64.95497402,15.18017385,0.500392342,null
E02006399,1.152344582,64.98561719,10.02920624,0.576928386,0.184736859
W02000272,1.167951929,65.18465526,2.956495488,0.016827979,null
E02001649,1.365331103,64.31666594,5.773360516,null,null
E02001782,0.04988517,64.95103873,2.559757581,null,0.220694292
E02003523,0.873381797,64.74873455,6.826361548,null,0.142273728
E02005376,0.847720884,64.26167078,4.148415681,1.776556241,0.45017294
E02005611,1.257182437,64.94601698,8.711786285,4.405551025,0.630654995
E02005623,0.249777807,64.503294,5.073748623,1.229201164,0.300758904
E02002659,1.938771662,64.78565398,3.198347251,null,null
E02003121,0.271797481,64.54265185,4.720297777,0.997589725,-0.196688361
E02005532,0.983985093,64.27932256,3.287735118,1.585692184,-0.069724438
E02000964,2.875765313,64.53822103,10.61813735,null,0.561698875
E02002484,0.975118447,64.82087756,3.906035797,null,null
E02003289,1.365878434,64.05809284,7.339951313,null,null
E02005983,1.219375406,64.44625912,13.89712288,0.097094995,0.355532726
E02001715,1.007286435,63.855037,6.993689668,null,-0.304560107
E02003847,-0.044636263,64.74008447,2.395276247,0.257816448,null
W02000172,-0.030113112,64.19652943,4.414323591,1.152176628,null
E02003196,0.069798512,64.00263457,2.546950744,0.626749804,null
E02004808,0.798173888,64.2285974,12.33897648,null,null
E02005873,0.197837089,64.29013579,4.373676984,null,0.363159121
E02000133,0.235644419,63.80751048,3.493421349,null,null
E02000798,1.174610305,64.05087085,4.03043673,null,null
E02003928,2.053356356,64.15946427,7.545171706,3.219591959,0.111560775
E02000759,1.389799147,63.75487509,8.028867048,null,0.763488215
E02001709,0.666737081,64.48676887,5.709561578,0.566999951,null
E02004606,1.448581313,63.57270779,8.462464191,null,0.385095765
E02005354,0.816435266,63.86706763,1.063595139,null,null
E02005740,0.515801555,64.32662447,3.258650139,1.303900164,0.740202795
E02000649,3.464996694,63.52641629,11.76783664,null,null
E02003360,0.839356577,63.7862676,3.273409701,-0.235648207,-0.199107258
E02004269,0.986372357,64.38184469,7.162033255,1.509962796,0.450007252
E02004305,0.721483332,63.62948736,1.344248827,0.625126447,null
E02006217,0.111039906,63.5397336,2.219986252,-0.150651185,null
E02006560,0.828616129,63.75254725,4.53196719,-0.201249257,0.70624582
W02000215,0.840657625,64.04126808,3.951563661,-0.287514561,null
E02000024,1.194067673,64.31422044,6.046741577,null,0.239620835
E02001815,0.361707493,64.1699295,1.660272489,null,null
E02002564,0.028830363,63.81655113,4.131519236,null,null
E02006286,0.958066921,63.83372552,6.034508222,1.31083381,-0.113489206
E02006593,1.170167199,64.02554279,15.80122391,0.149948122,0.104777877
E02003220,0.737725828,63.45291052,4.656805558,0.349234441,null
E02003609,0.424803311,63.27586715,3.789723391,3.570850445,1.109203553
E02006637,0.539792432,63.68907183,9.565841214,1.904640427,0.542520898
E02001154,0.860652114,63.98712078,3.309576063,null,null
E02005322,0.771002683,63.67250896,4.998952952,2.46748705,0.259118236
E02005387,1.160783064,63.50978433,2.969583457,0.196750481,null
E02006679,0.485205595,63.82902704,4.572202133,7.480169932,0.493226843
E02001713,0.259171949,63.12347628,3.648143192,null,null
E02002231,1.695655441,63.36300883,4.646010778,null,null
E02002569,-0.103748816,63.79456497,1.325799821,0.238474982,null
E02003249,1.666418251,63.57740715,10.39669053,0.37514879,0.651125655
E02004912,0.763619367,63.25756564,9.818777557,0.809709917,null
W02000074,0.943256727,63.47913991,2.89890113,1.577016179,null
W02000174,0.085404142,63.70149163,1.177886111,0.234523797,null
E02006045,1.229940292,63.13916343,8.681563563,1.528767022,0.579091087
W02000302,0.430234636,63.17196099,1.572457239,0.595261549,null
E02000084,0.974333289,63.5050196,2.532464772,null,null
E02002821,1.415804286,63.79522048,5.914004846,null,null
E02005118,1.312814576,63.37967853,2.633843108,0.321724213,null
E02005710,0.408304739,63.19853394,4.097602263,0.211437352,null
E02001915,1.925245273,63.7215375,10.38614618,null,null
E02002058,1.004224344,63.12551773,11.62523868,null,null
E02002483,0.434058219,63.00642327,3.292041823,null,null
E02005004,1.037285219,63.43282291,5.465199504,0.573145826,null
E02006154,0.574855539,63.42558709,2.56303316,0.159716763,null
E02000556,2.195695097,63.3645358,8.952621012,null,0.250769034
E02001186,0.964238911,63.17754047,5.336831806,0.436733399,0.473126168
E02002783,0.694913634,62.74032536,3.712726614,null,null
E02003701,0.18551144,63.04558042,6.114267593,0.468219187,0.48263427
E02004092,1.373001653,63.2932889,2.98924292,null,0.091217081
E02004775,1.231053501,63.54505156,7.723058952,-0.075297846,null
E02005617,0.575547106,62.88157118,3.470081573,null,null
E02006177,0.6480045,63.32788433,2.495234485,0.690678952,null
E02001683,0.930278501,62.6586125,2.558626359,-0.166721334,null
E02004002,0.080640886,63.33496382,2.260279883,0.09529356,0.097848362
E02004045,0.118897739,63.52293215,2.06132274,0.871443445,0.389830885
E02005824,0.597127999,62.97112882,1.262827131,0.221312828,null
E02006174,0.894590128,63.21304357,2.924277776,4.571915053,0.006711727
