AREACD,AREANM,High Technology Manufacturing,High Technology Services,Knowledge Intensive Financial Services,Knowledge Intensive Market Services,Less Knowledge Intensive Market Services,Low Technology Manufacturing,Medium Technology Manufacturing,Non-manufacturing Production,Other,Other Knowledge Intensive Services
E30000160,Ashford TTWA,0.000649014,0.021708106,0.008455037,0.076515202,0.417365992,0.040075748,0.051454792,0.015650418,0.073991061,0.294134629
E30000161,Banbury TTWA,0.002244567,0.023362399,0.009537957,0.113053224,0.411899866,0.064580619,0.074440216,0.005454538,0.059796276,0.235630337
E30000162,Barnstaple TTWA,0.028178887,0.010981827,0.007778662,0.079908724,0.404099333,0.027605949,0.066178453,0.010832837,0.084148049,0.280287277
E30000163,Barrow-in-Furness TTWA,0.021011712,0.014224793,0.008365681,0.063149404,0.315969074,0.022063628,0.204897902,0.018546712,0.047030986,0.28474011
E30000164,Basingstoke TTWA,0.012307879,0.081372264,0.024150944,0.107398371,0.367446478,0.015378187,0.071344622,0.013619316,0.075551021,0.231430917
E30000165,Bath TTWA,0.002086102,0.034485164,0.031182654,0.116184483,0.323793768,0.028134695,0.02019623,0.022503577,0.084596976,0.336836351
E30000166,Bedford TTWA,0.005412439,0.038180876,0.012763276,0.119372715,0.349881991,0.02368675,0.045139629,0.013242137,0.0862852,0.306034987
E30000167,Bideford TTWA,0.008236762,0.006791256,0.007820355,0.065781261,0.413546235,0.030131596,0.052288357,0.012090556,0.109610126,0.293703495
E30000168,Birkenhead TTWA,0.00434342,0.015277583,0.010841167,0.104488014,0.329937202,0.030684767,0.046694126,0.012191343,0.062254304,0.383288074
E30000169,Birmingham TTWA,0.002221301,0.029805749,0.036155447,0.122441983,0.379468501,0.019944623,0.068093159,0.007182196,0.061367383,0.273319658
E30000170,Blackburn TTWA,0.006560307,0.016329703,0.009243501,0.076475101,0.34139585,0.073206195,0.110030737,0.010291605,0.048536179,0.307930821
E30000171,Blackpool TTWA,0.001820643,0.014754037,0.013633054,0.106981579,0.348347825,0.037997023,0.036041627,0.009495954,0.048684963,0.382243296
E30000172,Blandford Forum and Gillingham TTWA,0.003252931,0.015902005,0.008518781,0.070429422,0.354627136,0.064212925,0.05199593,0.020729104,0.10542083,0.304910937
E30000173,Blyth and Ashington TTWA,0.024878886,0.012109087,0.005309101,0.052571647,0.349112083,0.04042166,0.060282874,0.041572973,0.0804466,0.33329509
E30000174,Boston TTWA,0,0.004285652,0.006859986,0.149009051,0.341387307,0.096715614,0.049226588,0.019906893,0.051184523,0.281424385
E30000175,Bournemouth TTWA,0.003416863,0.029477603,0.082628482,0.09466074,0.346384376,0.012451162,0.041498603,0.013014598,0.09313582,0.283331753
E30000176,Bridgwater TTWA,0.00117126,0.009108596,0.006594968,0.059477221,0.389695827,0.076525359,0.049618278,0.044195609,0.08691183,0.276701053
E30000177,Bridlington TTWA,,0.007869912,0.008556475,0.037069027,0.388774266,0.089130133,0.053876674,0.019198331,0.088990919,0.305707804
E30000178,Bridport TTWA,0.010295775,0.010795139,0.00669022,0.066427572,0.455373151,0.068001892,0.031289268,0.013101638,0.118423311,0.219602033
E30000179,Brighton TTWA,0.003837455,0.056222231,0.051992824,0.097776706,0.356383445,0.012770482,0.011990718,0.014250728,0.054022491,0.34075292
E30000180,Bristol TTWA,0.006725851,0.04555735,0.047962825,0.150613282,0.309236976,0.017762658,0.03875717,0.013267055,0.071072331,0.299044501
E30000181,Bude TTWA,0.000626968,0.012861709,0.010329883,0.067417616,0.484545842,0.060834176,0.02888205,0.015022654,0.105698796,0.213780306
E30000182,Burnley TTWA,0.012650016,0.024033704,0.011975839,0.072611845,0.341556734,0.085016403,0.12656447,0.004926466,0.055222285,0.265442238
E30000183,Burton upon Trent TTWA,0.007947388,0.022831522,0.008631094,0.128519791,0.38350977,0.058093975,0.072612749,0.010769576,0.068363744,0.238720393
E30000184,Bury St Edmunds TTWA,0.008365538,0.016528113,0.018354548,0.063307922,0.476428097,0.053297006,0.038519085,0.012246507,0.079464489,0.233488696
E30000185,Buxton TTWA,0.005296154,0.02022548,0.004562978,0.055947136,0.391530297,0.030564634,0.12487065,0.042450546,0.056862078,0.267690048
E30000186,Cambridge TTWA,0.014164364,0.106848435,0.013334481,0.126525103,0.301417436,0.022901449,0.045928904,0.007461822,0.066915217,0.294502789
E30000187,Canterbury TTWA,0.004941454,0.021684186,0.028481622,0.094963528,0.365524152,0.015786343,0.020252385,0.009930665,0.059926291,0.378509374
E30000188,Chelmsford TTWA,0.009046731,0.040909903,0.031986776,0.119488954,0.353458209,0.023180714,0.035178361,0.010388597,0.102190339,0.274171417
E30000189,Cheltenham TTWA,0.011160463,0.04161403,0.035260182,0.126182418,0.325040293,0.018623103,0.090351052,0.00810094,0.075767318,0.267900201
E30000190,Chesterfield TTWA,0.002723429,0.024803582,0.016873636,0.079676348,0.389185058,0.017121458,0.080509512,0.012651659,0.067765836,0.308689483
E30000191,Chichester and Bognor Regis TTWA,0.004635487,0.016146257,0.015058902,0.086021203,0.382343967,0.038001982,0.048019597,0.010455737,0.0704711,0.328845767
E30000192,Clacton TTWA,0.003652498,0.008651448,0.009954536,0.045271249,0.445220869,0.020918338,0.042909051,0.011287442,0.076485198,0.335649371
E30000193,Colchester TTWA,0.003249938,0.022781477,0.032037395,0.099689002,0.332449351,0.030963991,0.027661277,0.016237852,0.090870408,0.34405931
E30000194,Corby TTWA,0.001046662,0.009575737,0.004520056,0.092493138,0.459649536,0.11307902,0.09012907,0.011264929,0.043481397,0.174760456
E30000195,Coventry TTWA,0.002892157,0.034294615,0.023459999,0.126752041,0.355522561,0.019358496,0.084385801,0.023912678,0.04828419,0.281137461
E30000196,Crawley TTWA,0.016201398,0.04551063,0.049265334,0.130676525,0.377775143,0.014152582,0.031901625,0.015274461,0.073007193,0.246235109
E30000197,Crewe TTWA,0.008315023,0.028995278,0.05705803,0.107071352,0.388492347,0.03678362,0.069777477,0.020231486,0.053473865,0.229801522
E30000198,Cromer and Sheringham TTWA,,0.009450751,0.008227099,0.048498126,0.47911387,0.016700798,0.012778743,0.014978615,0.086355026,0.323798381
E30000199,Darlington TTWA,0.000273302,0.024413471,0.054642143,0.117952663,0.349325023,0.028220832,0.033183281,0.008305108,0.043646367,0.340037808
E30000200,Derby TTWA,0.003212848,0.021401896,0.008593146,0.141936351,0.308238366,0.033264597,0.148596204,0.01251169,0.06432064,0.257924261
E30000201,Doncaster TTWA,0.00109594,0.017124717,0.020223035,0.084920827,0.366878965,0.020725466,0.06731776,0.007414521,0.084816896,0.329481873
E30000202,Dudley TTWA,0.000897783,0.015246604,0.012055999,0.063539716,0.371879624,0.046317472,0.11405887,0.012261815,0.084577413,0.279164703
E30000203,Durham and Bishop Auckland TTWA,0.016507113,0.014524365,0.008064656,0.055188191,0.302257788,0.027655763,0.094562458,0.0160712,0.079876996,0.38529147
E30000204,Eastbourne TTWA,0.005404673,0.021092544,0.012430585,0.076163864,0.36666144,0.023171658,0.033100154,0.009936077,0.071375938,0.380663066
E30000205,Evesham TTWA,0.003257897,0.029812464,0.008024975,0.078140756,0.442641068,0.06308838,0.057487276,0.024359424,0.083572651,0.209615108
E30000206,Exeter TTWA,0.003294642,0.025680891,0.01575754,0.101419862,0.366323947,0.030421609,0.030883374,0.021216192,0.091779765,0.313222178
E30000208,Folkestone and Dover TTWA,0.007443002,0.01691435,0.030203826,0.109035255,0.396235581,0.012989845,0.032074339,0.017482057,0.05710037,0.320521376
E30000209,Gloucester TTWA,0.009963827,0.030971104,0.032495444,0.097076631,0.309195819,0.033173862,0.071351257,0.024385705,0.095614406,0.295771945
E30000210,Great Yarmouth TTWA,0.014146688,0.01147447,0.00738085,0.085714939,0.393400037,0.01927373,0.042263219,0.022326029,0.056691201,0.347328837
E30000211,Grimsby TTWA,0.001321698,0.007153307,0.011111031,0.088541515,0.357777065,0.078302023,0.084788113,0.016421979,0.0762499,0.27833337
E30000212,Guildford and Aldershot TTWA,0.007021833,0.07954071,0.025590209,0.139195521,0.34428607,0.012878578,0.036524303,0.008828021,0.069459794,0.276674962
E30000214,Harrogate TTWA,0.00190035,0.057810858,0.023365912,0.102560048,0.385461689,0.028592977,0.022158266,0.008960779,0.083165615,0.286023506
E30000215,Hartlepool TTWA,0.004719145,0.015247354,0.006322233,0.068624345,0.310363122,0.025801652,0.082088257,0.046018966,0.058849911,0.381965016
E30000216,Hereford TTWA,0.00463225,0.020498377,0.011635168,0.072611186,0.351110817,0.072992509,0.079376922,0.016690991,0.084823343,0.285628438
E30000218,High Wycombe and Aylesbury TTWA,0.011961436,0.061381475,0.020849518,0.126334729,0.362629723,0.026506108,0.029561634,0.009682278,0.077842972,0.273250128
E30000219,Huddersfield TTWA,0.007031094,0.015030059,0.01050903,0.077025006,0.336429345,0.073393554,0.074579953,0.00593927,0.079920965,0.320141725
E30000220,Hull TTWA,0.007177112,0.020976436,0.008059515,0.103011426,0.32538105,0.059625698,0.080075536,0.011819056,0.079223534,0.304650638
E30000221,Huntingdon TTWA,0.01698994,0.038906579,0.013386504,0.102582044,0.331371537,0.069294145,0.055595054,0.03221111,0.070006671,0.269656415
E30000222,Ipswich TTWA,0.001218174,0.040846607,0.03892256,0.084927725,0.374188526,0.026378032,0.035244881,0.021577612,0.070881404,0.305814479
E30000223,Kendal TTWA,0.000407279,0.010226671,0.010629675,0.068520611,0.47997745,0.048285329,0.036625728,0.012954863,0.077445747,0.254926647
E30000224,Kettering and Wellingborough TTWA,0.003922867,0.014024625,0.010397394,0.10436971,0.447608502,0.073551731,0.045586931,0.009450961,0.057793087,0.233294192
E30000225,King's Lynn TTWA,0.003322393,0.00832101,0.024843148,0.07962176,0.361501623,0.062064205,0.060159598,0.014277401,0.083462227,0.302426634
E30000226,Kingsbridge and Dartmouth TTWA,0.001038054,0.015859297,0.007383423,0.071364145,0.550354276,0.033092256,0.01599681,0.015498451,0.139197441,0.150215848
E30000227,Launceston TTWA,0.00054336,0.010090708,0.011089453,0.045263855,0.432582052,0.115764874,0.024023356,0.023314879,0.101248285,0.236079178
E30000228,Leamington Spa TTWA,0.001831802,0.04752546,0.025423043,0.109660959,0.372255839,0.016219016,0.098065283,0.030866677,0.057238157,0.240913764
E30000229,Leeds TTWA,0.001668176,0.053261321,0.053856709,0.160792594,0.309452226,0.024747011,0.031624147,0.015394473,0.071411005,0.277792338
E30000230,Leicester TTWA,0.006773925,0.026363628,0.021317398,0.119083532,0.332629194,0.077485686,0.049081897,0.022378646,0.059787405,0.285098689
E30000231,Lincoln TTWA,0.004673784,0.026296082,0.009476986,0.090441278,0.372026863,0.048880563,0.055758611,0.025511742,0.069578984,0.297355106
E30000232,Liskeard TTWA,0,0.00769326,0.006162582,0.071030866,0.436895647,0.074474036,0.027461262,0.017685455,0.134116301,0.224480592
E30000233,Liverpool TTWA,0.004757569,0.023014874,0.034187455,0.11389605,0.329561729,0.023059468,0.037330053,0.008097898,0.052618752,0.37347615
E30000234,London TTWA,0.001631185,0.074275131,0.07462333,0.176610599,0.321797261,0.012918809,0.008257795,0.006426489,0.070860866,0.252598534
E30000235,Lowestoft TTWA,0.001324191,0.020324415,0.009810446,0.068149362,0.35715012,0.0934849,0.064150721,0.014971896,0.078776071,0.29185788
E30000236,Ludlow TTWA,0.007620463,0.02352292,0.008618924,0.082057975,0.419821087,0.053185756,0.052502822,0.024008588,0.106399509,0.222261957
E30000237,Luton TTWA,0.005874687,0.048563552,0.017498628,0.240934713,0.351286076,0.017559592,0.025805417,0.004764436,0.069326879,0.21838602
E30000238,Malton TTWA,0.006251318,0.009882492,0.007329853,0.074724334,0.306540716,0.114400442,0.092597811,0.011437356,0.104448295,0.272387382
E30000239,Manchester TTWA,0.007135771,0.036615498,0.032902121,0.151981946,0.35149361,0.030339253,0.036459617,0.014938652,0.064513763,0.273619768
E30000240,Mansfield TTWA,0.002893409,0.010948538,0.008878844,0.096429324,0.361143115,0.047285313,0.108300551,0.016750896,0.08166345,0.26570656
E30000241,Margate and Ramsgate TTWA,0.008631126,0.042557645,0.013769752,0.051998166,0.362030702,0.037357133,0.041612543,0.01390941,0.066898881,0.361234643
E30000242,Medway TTWA,0.009495342,0.024961929,0.025415119,0.090519153,0.368965515,0.026318081,0.041941066,0.021608402,0.092866559,0.297908833
E30000243,Milton Keynes TTWA,0.004082844,0.057090642,0.043461676,0.129349445,0.390378801,0.023063687,0.041219883,0.004638954,0.056096227,0.25061784
E30000244,Newbury TTWA,0.009783506,0.141533097,0.009523635,0.100240363,0.332086059,0.024655486,0.039441704,0.016214769,0.068963774,0.257557608
E30000245,Newcastle TTWA,0.002730193,0.048220147,0.021582904,0.10327454,0.336327891,0.023006679,0.045648787,0.009273074,0.062714764,0.347221023
E30000246,Northallerton TTWA,0.001008304,0.020777078,0.005472376,0.049441259,0.360677628,0.072245869,0.046173268,0.01525797,0.121895968,0.307050281
E30000247,Northampton TTWA,0.00167298,0.024818619,0.049967942,0.139075655,0.375903356,0.035474923,0.044418442,0.010281277,0.061727988,0.256658818
E30000248,Norwich TTWA,0.002077248,0.025754678,0.04922199,0.092499392,0.319185831,0.032563726,0.037879153,0.013989497,0.079756753,0.347071731
E30000249,Nottingham TTWA,0.003356975,0.04344094,0.019869219,0.119275532,0.328398316,0.041219808,0.040652665,0.020409022,0.064629726,0.318747798
E30000250,Oxford TTWA,0.007910273,0.068172172,0.00999049,0.105817067,0.307915357,0.020889986,0.036591263,0.013113403,0.076645004,0.352954985
E30000252,Penzance TTWA,0.000343334,0.010162917,0.01384291,0.08911869,0.531415486,0.034964296,0.00572516,0.016665942,0.074190095,0.223571171
E30000253,Plymouth TTWA,0.005162528,0.022169266,0.01121087,0.087256011,0.335656692,0.025554696,0.092558726,0.011238963,0.069792859,0.339399388
E30000254,Portsmouth TTWA,0.008231425,0.044556036,0.012459657,0.094348932,0.342273507,0.014207819,0.073554034,0.016130741,0.066046802,0.328191047
E30000255,Preston TTWA,0.001052845,0.024039177,0.015601372,0.090467506,0.337607898,0.039959722,0.060025017,0.015352633,0.107752595,0.308141235
E30000256,Reading TTWA,0.004673468,0.141981596,0.025278924,0.157264499,0.328897353,0.011436165,0.0188983,0.020006754,0.049539668,0.242023274
E30000257,Redruth and Truro TTWA,0.00099455,0.01919195,0.011165563,0.084230892,0.347885184,0.025883623,0.021809383,0.014664648,0.094396616,0.379777591
E30000258,Salisbury TTWA,0.019146995,0.082705144,0.015293424,0.089651475,0.344087549,0.020475713,0.027886055,0.014766116,0.072791208,0.313196321
E30000259,Scarborough TTWA,0.002578373,0.00922629,0.006905251,0.072223369,0.356935206,0.053108733,0.0719039,0.009221548,0.063035805,0.354861525
E30000260,Scunthorpe TTWA,0.001792279,0.007638437,0.004926663,0.081874627,0.309103079,0.105325674,0.115351061,0.017557181,0.086857852,0.269573147
E30000261,Sheffield TTWA,0.002840125,0.037091252,0.027017639,0.10036211,0.31562615,0.029560208,0.069773268,0.007920889,0.061955745,0.347852613
E30000262,Shrewsbury TTWA,0.000850339,0.020497679,0.010099769,0.099032039,0.363703592,0.03964188,0.030912448,0.017773066,0.088702587,0.328786601
E30000263,Sidmouth TTWA,0.000497297,0.013003152,0.004419538,0.05332584,0.497222733,0.049159104,0.020277463,0.00704403,0.090777235,0.264273609
E30000264,Skegness and Louth TTWA,0.001098351,0.005252619,0.0065369,0.046999345,0.493038895,0.054211059,0.037611466,0.025913758,0.058686059,0.270651549
E30000266,Slough and Heathrow TTWA,0.002811533,0.082250263,0.015129793,0.167407705,0.386783636,0.019454828,0.01893294,0.0113602,0.064430798,0.231438305
E30000267,Southampton TTWA,0.005964173,0.045399839,0.03345028,0.115203869,0.357135329,0.023239466,0.040913933,0.01238676,0.064599921,0.30170643
E30000268,Southend TTWA,0.002899707,0.027601809,0.030734398,0.123704278,0.356580581,0.023160937,0.04442619,0.008224946,0.088120533,0.294546621
E30000270,St Austell and Newquay TTWA,0.002534669,0.015488882,0.006779722,0.069678955,0.472819295,0.040774196,0.027271848,0.027469769,0.093114172,0.244068493
E30000271,Stafford TTWA,0.011124069,0.023096801,0.00963822,0.067634427,0.388382122,0.026755728,0.083203973,0.012125334,0.069345384,0.308693942
E30000272,Stevenage and Welwyn Garden City TTWA,0.008869943,0.07433397,0.017304152,0.13879302,0.342099306,0.020108984,0.049096482,0.014252892,0.07169346,0.263447791
E30000273,Stoke-on-Trent TTWA,0.002428926,0.030078739,0.015421325,0.074201577,0.364176184,0.028886069,0.10060579,0.010773075,0.061551122,0.311877192
E30000274,Street and Wells TTWA,0.001446561,0.017392961,0.009550902,0.102437085,0.410611554,0.058982931,0.021012819,0.038103985,0.085215357,0.255245846
E30000275,Sunderland TTWA,0.003666388,0.014014906,0.036149318,0.062036184,0.328402347,0.027477845,0.12958615,0.03725868,0.063798124,0.297610058
E30000276,Swindon TTWA,0.007879064,0.044431464,0.07240608,0.115104891,0.391105514,0.019553391,0.04769373,0.019664595,0.071696855,0.210464415
E30000277,Taunton TTWA,0.00209641,0.0166813,0.025339745,0.107419317,0.301399246,0.039760338,0.023114602,0.013025842,0.072182624,0.398980576
E30000278,Telford TTWA,0.002837164,0.040424041,0.024008181,0.098506115,0.341884186,0.042485048,0.124268379,0.015219257,0.059490937,0.250876692
E30000279,Torquay and Paignton TTWA,0.005326271,0.010936471,0.011936903,0.076521963,0.407384742,0.023002449,0.021043434,0.010916314,0.068736714,0.36419474
E30000280,Trowbridge TTWA,0.005086336,0.03008494,0.009860951,0.130700141,0.332085291,0.059998302,0.054336575,0.015179007,0.087989466,0.274678992
E30000281,Tunbridge Wells TTWA,0.006195385,0.041419521,0.048349247,0.102026562,0.368876527,0.027380453,0.025405503,0.011512414,0.092748023,0.276086364
E30000282,Wadebridge TTWA,,0.01576171,0.007742408,0.047916939,0.51661033,0.04070985,0.0247204,0.020298504,0.166464406,0.159710838
E30000283,Wakefield and Castleford TTWA,0.001032927,0.014400643,0.009421134,0.091551358,0.380925784,0.076565191,0.046294122,0.013773602,0.07796808,0.288067159
E30000284,Warrington and Wigan TTWA,0.005717824,0.022323797,0.010616552,0.153193456,0.386711798,0.036998215,0.049390223,0.013334799,0.072308783,0.249404552
E30000285,Weston-super-Mare TTWA,0.010037433,0.022549848,0.013003509,0.104468009,0.397786025,0.034998484,0.041592763,0.017028081,0.078538978,0.27999687
E30000286,Whitehaven TTWA,0.002510241,0.006733431,0.004285389,0.090516256,0.230298338,0.005503142,0.31992484,0.010945058,0.07954756,0.249735745
E30000287,Wisbech TTWA,0.00105212,0.00988805,0.00906839,0.14860151,0.346371433,0.113894662,0.043308753,0.022385842,0.068459172,0.236970069
E30000288,Wolverhampton and Walsall TTWA,0.002117912,0.015066603,0.024604842,0.081928233,0.37296815,0.033215016,0.092716081,0.015157368,0.073910882,0.288314913
E30000289,Worcester and Kidderminster TTWA,0.007500496,0.03470652,0.011763772,0.082954566,0.366542441,0.037287702,0.068161689,0.012453742,0.077766642,0.300862429
E30000290,Workington TTWA,,0.009434373,0.008457256,0.076076344,0.422440115,0.058764716,0.05396731,0.016246551,0.082291607,0.271825965
E30000291,Worksop and Retford TTWA,0.004034298,0.016436676,0.01336556,0.098853586,0.345750274,0.099198065,0.073612743,0.017677846,0.058689827,0.272381125
E30000292,Worthing TTWA,0.026247341,0.024480479,0.034303206,0.075039187,0.318788608,0.030319862,0.028432263,0.020228673,0.055188031,0.386972348
E30000293,Yeovil TTWA,0.013987932,0.016094487,0.007404752,0.087184383,0.34639056,0.058488998,0.1003498,0.011999974,0.09158368,0.266515434
E30000294,York TTWA,0.002123959,0.034310022,0.025076707,0.10048981,0.363599513,0.044757667,0.042741751,0.012248114,0.079337166,0.295315291
GB,Great Britain,0.004977371,0.043383554,0.034519909,0.121959943,0.346716231,0.029673859,0.044422573,0.014549036,0.070566725,0.289230797
K01000005,Cinderford and Ross-on-Wye TTWA,0.000882313,0.020888607,0.015986887,0.075081741,0.387496086,0.040979487,0.092062179,0.015877367,0.087602434,0.263142899
K01000009,Berwick TTWA,0,0.008834359,0.004565208,0.056693308,0.430607383,0.123054729,0.014835241,0.040470005,0.093679457,0.227260309
K01000010,Carlisle TTWA,0.001881564,0.009646151,0.014412705,0.097258761,0.403465462,0.054037212,0.05300557,0.011279846,0.072759894,0.282252835
K01000011,Chester TTWA,0.00294716,0.022189908,0.049806204,0.130714236,0.328516301,0.047366897,0.104955275,0.014708978,0.057476342,0.2413187
K01000013,Newport TTWA,0.012467818,0.01983207,0.03154324,0.079653229,0.350521157,0.040537382,0.072935511,0.016394328,0.058886075,0.31722919
K01000014,Oswestry TTWA,0.001005432,0.020432182,0.015366537,0.036767755,0.373308106,0.086978714,0.04763176,0.023697584,0.096807881,0.298004048
S22000005,Campbeltown TTWA,,0.023689022,0.014631077,0.022571382,0.389981532,0.032571239,0.038067149,0.035202549,0.059409109,0.38181285
S22000013,Western Isles TTWA,,0.026446342,0.006584755,0.036122351,0.3059504,0.057602206,0.00699087,0.043323524,0.090551066,0.426139553
S22000032,Mull and Islay TTWA,0,0.007737066,0.004413167,0.038210655,0.403431408,0.113755402,0.009418184,0.077019483,0.068342899,0.277671737
S22000035,Orkney Islands TTWA,,0.022199068,0.005635119,0.06214395,0.325479462,0.028428569,0.004288897,0.057634615,0.083565103,0.410537717
S22000039,Shetland Islands TTWA,,0.017118293,0.003696192,0.045023414,0.321783143,0.044091412,0.016711947,0.086267778,0.106847533,0.357650409
S22000047,Aberdeen TTWA,0.002554194,0.024008204,0.00732725,0.177834488,0.29266646,0.017421939,0.040624796,0.110710616,0.060401714,0.266450337
S22000048,Alness and Invergordon TTWA,0,0.021570309,0.004587705,0.106881656,0.296087102,0.051206506,0.101558404,0.054620677,0.089065973,0.274421668
S22000049,Arbroath and Montrose TTWA,0.060048657,0.005548272,0.007329597,0.07017514,0.35759726,0.048397854,0.077460376,0.019715703,0.063866965,0.289860175
S22000050,Aviemore and Grantown-on-Spey TTWA,,0.0062833,,0.039998663,0.512562543,0.013542227,0.007884031,0.020650404,0.087888502,0.308441024
S22000051,Ayr TTWA,0.000401771,0.010644931,0.013038094,0.048410378,0.382490232,0.029878216,0.074018355,0.014994856,0.071172593,0.354950574
S22000052,Broadford and Kyle of Lochalsh TTWA,0,0.030772935,,0.04464325,0.414217516,0.009946134,0.011070452,0.057867279,0.067994611,0.36221983
S22000053,Dalbeattie and Castle Douglas TTWA,0,0.009338827,0.006932571,0.043915248,0.425064821,0.08572827,0.027507796,0.0253052,0.07289028,0.303316987
S22000054,Dumbarton and Helensburgh TTWA,,0.012515575,0.006263883,0.03733636,0.39990857,0.04088583,0.023669521,0.007599702,0.042722968,0.429052573
S22000055,Dumfries TTWA,0.002330997,0.010098865,0.008777158,0.056125055,0.322799658,0.059673755,0.038691624,0.035185947,0.069825089,0.396491852
S22000056,Dundee TTWA,0.005937992,0.039278245,0.011984268,0.063381421,0.320423234,0.032107711,0.031654893,0.017110379,0.063198923,0.414922935
S22000057,Dunfermline and Kirkcaldy TTWA,0.014161004,0.033215041,0.027463047,0.068701334,0.32276993,0.033950077,0.069146555,0.015601043,0.063460598,0.351531371
S22000058,Dunoon and Rothesay TTWA,,0.006430448,0.002814441,0.040459322,0.385281743,0.04893447,0.011437312,0.030563664,0.07826561,0.39092126
S22000059,Edinburgh TTWA,0.00849572,0.063637393,0.081582608,0.111208394,0.303733005,0.012731912,0.00776039,0.01418455,0.05536093,0.341305098
S22000060,Elgin TTWA,0.001130984,0.013667868,0.009945189,0.046269074,0.338561101,0.119190526,0.028861609,0.030292701,0.078761359,0.333319589
S22000061,Falkirk and Stirling TTWA,0.003813488,0.030545786,0.023272948,0.079332613,0.325680249,0.028936881,0.05114754,0.016012397,0.088472633,0.352785465
S22000062,Fort William TTWA,0,0.007453959,0.003825755,0.026725467,0.468902096,0.052757732,0.024118776,0.063323177,0.080005249,0.272887788
S22000063,Galashiels and Peebles TTWA,0.003162355,0.024724846,0.008784581,0.051115644,0.320621754,0.030784687,0.012405899,0.046713728,0.078860235,0.422826272
S22000064,Girvan TTWA,0,0.001895933,0.00197609,0.014508831,0.451119286,0.080611828,0.040632772,0.029942913,0.064149439,0.315162908
S22000065,Glasgow TTWA,0.003604637,0.039036241,0.04537761,0.105930205,0.331214189,0.026196125,0.02573811,0.016337369,0.072089655,0.334475859
S22000066,Golspie and Brora TTWA,0,0.006418276,0.001056737,0.036401651,0.396487413,0.018711836,0.003792886,0.03334538,0.074353302,0.429432518
S22000067,Hawick and Kelso TTWA,0.045231451,0.019445294,0.008187916,0.040889291,0.348421691,0.077466548,0.067504868,0.020469555,0.113854543,0.258528844
