AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11
Reading,E06000038,13.86408,18.57396,14.35752,4.62708,3.50844,8.49204,11.99292,3.74316,2.25648,4.9848,11.02884
Slough,E06000039,21.24384,14.75304,-2.80248,2.685,7.9074,15.1182,13.57452,4.71444,6.08316,0.05316,-1.61652
Windsor and Maidenhead,E06000040,14.49816,14.80668,12.59364,11.01756,9.16548,13.22052,15.55404,7.4592,2.73192,3.36408,11.74548
Wokingham,E06000041,15.7998,13.6146,11.74044,10.77876,5.17548,6.55908,3.61632,6.59088,4.64448,1.8756,-0.46284
Milton Keynes,E06000042,10.12104,19.38228,15.40272,5.07444,-0.67428,5.58708,11.66352,15.46068,9.2538,5.58036,1.0098
Brighton and Hove,E06000043,13.26708,9.17352,6.53796,11.56848,16.03368,22.5186,17.58036,11.96244,6.0972,8.47692,9.91692
Portsmouth,E06000044,12.23868,13.0674,4.82664,10.5504,11.15484,13.37448,11.63196,8.46228,6.42636,-4.41936,-2.96388
Southampton,E06000045,7.61496,7.88676,10.85484,17.9274,16.61388,16.68096,5.41092,-0.14808,-5.46408,-1.8432,5.1306
Isle of Wight,E06000046,14.83824,16.3218,7.88544,5.70528,1.24308,9.40416,13.74,18.9486,5.17824,-3.21168,-9.40584
County Durham,E06000047,12.08772,14.769,13.71696,11.02104,5.79828,8.42628,12.10584,11.78532,7.07196,2.76696,1.24452
Cheshire East,E06000049,13.62192,12.38916,11.15136,11.57016,13.44132,16.1694,16.11684,10.53552,3.36192,-0.67764,-0.16308
Cheshire West and Chester,E06000050,8.50128,14.45148,10.73592,16.53168,14.7066,14.6718,5.36244,2.37492,2.45712,7.30908,6.80604
Shropshire,E06000051,12.94728,14.97024,12.26196,9.96084,6.16176,10.49136,11.02476,12.79308,7.4844,6.30552,6.52944
Cornwall,E06000052,8.52192,8.05476,8.71296,4.1208,9.33216,9.38016,11.95416,5.37828,3.15852,2.59488,3.56748
Wiltshire,E06000054,11.83404,10.17732,5.23776,5.64996,3.92136,8.9346,9.59508,11.8356,8.6172,6.31512,5.55804
Bedford,E06000055,7.20156,14.68884,6.78192,9.06672,2.79816,4.7076,10.26588,15.951,17.14164,8.69016,5.7084
Central Bedfordshire,E06000056,10.27128,10.38888,16.971,14.02236,11.74188,11.33448,13.85748,17.22444,16.80048,17.16732,8.1846
Northumberland,E06000057,15.31704,18.53292,15.07824,13.94028,11.76576,9.19992,4.30236,6.82632,8.13468,6.19224,0.77664
Aylesbury Vale,E07000004,5.04396,11.99808,25.05372,19.2654,8.07324,-3.08676,-0.84,3.51744,10.8996,10.91472,14.60772
Chiltern,E07000005,18.0654,5.57604,1.09824,12.49452,14.30136,12.89904,14.27268,13.40724,6.06264,4.4136,10.43208
South Bucks,E07000006,10.08828,13.70328,19.20312,21.52488,9.81432,2.10888,-0.80484,4.55088,2.265,2.69988,0.42108
Wycombe,E07000007,15.05388,8.28036,16.49964,9.81888,10.39908,7.44996,13.5288,14.71572,15.53856,10.7892,7.70256
Cambridge,E07000008,9.46476,6.49176,3.7026,8.62452,13.36968,23.90892,14.49576,10.75944,-1.90704,6.11364,7.97424
East Cambridgeshire,E07000009,24.06672,25.04004,22.0308,12.92988,12.2946,9.01608,13.2744,11.55468,14.49552,2.91144,-1.38156
Fenland,E07000010,28.50372,15.38424,10.0686,-2.00784,0.67656,10.13388,20.35872,22.56228,14.289,-3.49284,-10.50156
Huntingdonshire,E07000011,12.01152,9.438,6.08736,13.04868,20.03544,18.71112,14.20764,6.3042,6.30744,2.79924,6.279
South Cambridgeshire,E07000012,-0.91176,16.43028,21.57864,24.13128,7.90572,9.23244,15.16848,19.42464,7.13436,-6.35424,-5.23392
Allerdale,E07000026,4.92948,5.62188,14.75184,15.16188,9.96816,6.59136,2.7054,12.2832,8.15748,9.5514,-2.38092
Barrow-in-Furness,E07000027,14.03508,21.76164,15.28716,18.97056,18.58656,13.81452,2.63988,-6.07464,-2.745,-1.24104,0.63588
Carlisle,E07000028,7.62048,12.96552,15.1446,10.58196,6.39204,11.24352,14.63052,17.60064,9.42552,8.11236,0.14736
Copeland,E07000029,14.9142,8.80308,13.15308,12.79932,14.01228,9.17988,-0.11448,-1.72488,1.96404,9.89928,6.17904
Eden,E07000030,-2.00568,-4.11564,10.61484,14.52276,21.9258,14.21004,9.3804,6.70272,7.33944,7.21992,5.02392
South Lakeland,E07000031,9.64152,13.75284,8.0244,6.6894,2.36124,10.06188,17.75856,14.76204,4.74804,-0.62508,9.66348
Amber Valley,E07000032,13.52988,13.20732,10.09956,5.14776,4.61364,7.16592,12.34992,9.4332,11.751,0.68376,4.85184
Bolsover,E07000033,12.45876,22.10256,12.25656,7.70796,7.9374,16.31064,15.67344,11.93448,0.85992,-5.35044,-6.08124
Chesterfield,E07000034,22.74036,15.60816,17.17044,4.85172,1.48176,-1.75548,6.05664,13.89768,15.76728,4.67988,-3.76104
Derbyshire Dales,E07000035,20.62728,16.69092,13.28316,11.6262,19.15596,18.53484,12.0276,2.5998,6.41232,1.47636,-5.11488
Erewash,E07000036,17.74488,7.65396,2.99196,13.731,20.32248,30.17496,15.36384,11.21268,-1.70052,-2.2902,-1.66788
High Peak,E07000037,15.58584,8.35104,6.40776,2.20032,11.33424,16.35996,21.83244,10.53672,-0.26364,-6.2118,-5.64288
North East Derbyshire,E07000038,6.31848,13.40316,10.2408,13.85628,17.75844,14.4078,11.52936,5.27472,10.37808,4.76124,-0.2502
South Derbyshire,E07000039,17.57844,11.54496,6.10092,0.73368,9.68976,16.25796,17.4852,12.04248,1.92528,-2.63808,-8.79444
East Devon,E07000040,8.9136,0.5538,9.0438,11.42088,18.14328,7.37208,11.994,1.7448,1.25484,-1.40604,6.09396
Exeter,E07000041,3.99516,13.07472,19.4706,15.29268,11.76312,8.24616,14.99436,9.99,1.65744,-10.08972,-12.70152
Mid Devon,E07000042,11.448,14.0436,23.51268,12.06732,9.69984,-0.94812,0.20388,3.66864,19.2234,11.79996,0.36684
North Devon,E07000043,12.71976,14.0286,0.357,0.77184,5.5686,21.07884,19.9044,12.29472,3.68148,0.56952,-0.23268
South Hams,E07000044,2.88228,6.64932,2.87208,11.23944,15.72024,22.31904,15.81492,8.34996,-0.29592,-3.78864,8.62392
Teignbridge,E07000045,14.64432,10.54188,4.89396,2.37972,5.4174,7.32624,3.99576,0.3072,-1.5126,3.20304,2.76648
Torridge,E07000046,20.24268,16.1994,12.6408,13.86024,22.61016,14.79324,6.42924,3.91932,-2.67804,-7.1268,-14.96712
West Devon,E07000047,11.01336,10.96668,2.1114,-1.24332,6.0612,13.19412,9.01044,-4.94484,-7.25028,3.26304,14.66676
Christchurch,E07000048,25.51944,16.5036,4.02924,4.66116,12.372,15.33036,13.94616,14.53728,13.02708,-2.62344,-9.18252
East Dorset,E07000049,16.24296,5.86464,4.07376,-1.2612,7.02276,18.81,16.74528,8.87604,-1.68708,2.30208,5.39556
North Dorset,E07000050,1.95732,8.08248,15.96396,24.87912,22.17288,11.55708,-0.23052,-5.2626,0.61548,6.92688,9.39072
Purbeck,E07000051,-3.41712,0.65316,15.97296,12.89112,17.3112,1.58592,1.03056,2.08056,15.282,12.61572,5.86356
West Dorset,E07000052,21.83796,10.45752,15.57072,0.27648,6.36576,6.39684,16.67388,14.916,11.86776,5.28216,-4.49784
Weymouth and Portland,E07000053,21.04032,22.69224,7.0446,6.4476,-8.0676,6.86304,2.28132,12.47088,-0.55776,1.36908,-1.33308
Eastbourne,E07000061,17.89116,14.78472,19.5642,16.48848,4.63944,-1.30188,0.879,18.86652,18.77892,17.7408,2.77512
Hastings,E07000062,3.49512,6.9018,5.39208,12.25104,14.48064,4.53972,10.43256,2.44044,15.19788,-1.88472,-6.05916
Lewes,E07000063,3.66528,17.6442,23.02152,20.19432,9.351,4.11432,4.13376,-0.32808,5.313,2.04204,12.24324
Rother,E07000064,5.29464,16.12308,18.09864,15.29208,7.38864,4.6818,6.10452,2.64468,1.29408,-4.08924,6.48876
Wealden,E07000065,12.6588,18.06264,12.60468,13.24236,-1.54524,1.83876,1.82028,10.90116,10.4544,8.39268,6.54816
Basildon,E07000066,10.25628,11.84232,7.90476,17.59992,13.40076,15.59292,6.70884,11.61516,2.81916,2.09844,-0.33588
Braintree,E07000067,18.70512,17.08596,15.14112,11.41572,10.70652,11.66772,0.30204,6.70476,1.37928,10.87212,5.0088
Brentwood,E07000068,4.75788,10.47756,0.0192,11.7084,8.30868,25.0614,7.36224,6.43176,-5.34888,0.44304,-5.4018
Castle Point,E07000069,12.846,20.03256,10.70628,5.03988,0.75324,5.0082,4.64184,3.63756,-1.42728,-2.68404,-0.46428
Chelmsford,E07000070,16.542,11.4672,10.431,6.57312,8.80224,7.69164,6.05736,7.75752,9.03408,9.51,2.6034
Colchester,E07000071,3.75684,4.40004,6.0204,12.9252,13.52556,15.34272,6.87036,4.42284,2.25156,4.94268,1.82244
Epping Forest,E07000072,3.02664,5.31144,11.94456,18.1968,14.62944,13.67448,8.37804,12.68196,2.40204,2.87712,-4.36896
Harlow,E07000073,7.82436,12.97848,13.77276,8.889,6.63336,1.74564,4.04712,5.43948,8.66856,6.62652,0.28752
Maldon,E07000074,-7.11708,11.73504,15.4002,18.32568,12.52164,15.90924,18.88668,17.0418,17.48964,4.68624,-8.29968
Rochford,E07000075,9.61176,9.19632,10.65372,12.6072,7.60296,13.24164,9.33396,9.99408,5.05356,-1.11804,2.8158
Tendring,E07000076,8.4054,11.62404,15.35592,19.56096,12.88416,4.98528,-5.05296,-3.73884,7.16568,5.4942,2.69772
Uttlesford,E07000077,2.92056,-3.65568,-4.04196,12.774,16.56396,16.76568,12.04536,13.2588,14.54868,3.8922,-5.87484
Cheltenham,E07000078,12.6222,4.50636,6.44688,13.75188,14.9142,14.94204,8.82,4.0716,1.65996,2.20776,-0.3912
Cotswold,E07000079,15.16812,20.45748,15.23532,1.60476,-0.49044,5.1468,12.81372,6.4476,1.66476,0.53508,4.61628
Forest of Dean,E07000080,7.9848,8.26896,12.28704,17.5134,22.87332,18.2328,12.6726,1.9002,5.06796,7.0974,14.17344
Gloucester,E07000081,17.256,23.95104,16.80684,3.74856,-0.57792,-0.789,4.91232,6.92688,16.40424,9.0228,-3.95448
Stroud,E07000082,7.5204,0.2052,2.3976,4.38996,16.49832,15.15948,17.43576,4.2486,-2.04132,-4.6002,-0.69072
Tewkesbury,E07000083,0.32952,12.62604,7.2168,9.8394,2.27772,6.92232,7.54824,8.65344,9.27528,7.16808,8.11572
Basingstoke and Deane,E07000084,19.85016,22.66644,14.24832,9.72588,8.43264,8.20536,8.9904,13.76784,8.04444,-1.23216,-9.23316
East Hampshire,E07000085,6.63,9.00108,4.67292,13.97844,13.96512,17.75496,11.14368,7.65672,1.75488,6.79272,6.27468
Eastleigh,E07000086,20.09856,19.88064,7.98852,5.03976,9.69228,23.1324,18.42024,15.30024,4.40736,5.83284,5.01972
Fareham,E07000087,14.6832,19.90812,20.32728,12.37092,-1.81212,-6.09708,-0.83388,2.3274,2.30652,1.69428,5.63568
Gosport,E07000088,14.18268,4.46364,21.64284,16.39368,20.19096,2.06724,3.75996,-7.60632,-3.95784,-3.91116,11.72688
Hart,E07000089,8.58696,10.19352,13.56156,5.75916,7.38312,12.34476,17.26044,14.01252,0.15468,-0.27348,-1.77888
Havant,E07000090,24.57888,15.63456,9.26004,4.6602,6.69108,4.8756,4.22244,3.98832,6.80472,7.51848,8.17392
New Forest,E07000091,7.60776,12.43092,13.07448,9.34632,9.0522,14.16108,12.91284,9.5262,5.6934,2.27568,4.69164
Rushmoor,E07000092,20.0082,21.86472,17.46336,7.28064,-6.60624,-5.77164,1.9452,8.81124,5.74416,6.32616,13.12896
Test Valley,E07000093,17.18568,8.05764,14.01,6.24852,16.83288,10.40244,11.01156,3.03864,6.83028,6.1494,3.48048
Winchester,E07000094,16.28616,6.55512,2.87952,4.05708,12.99216,21.3828,18.29484,14.7492,2.75232,-3.74892,-1.43808
Broxbourne,E07000095,23.54124,22.80036,13.77492,7.2918,11.24244,14.10096,9.88272,0.01896,2.36736,3.4212,11.09472
Dacorum,E07000096,2.64588,4.7634,5.52492,18.06204,16.35216,10.49148,-1.99056,-3.5148,3.47328,11.8212,15.02964
Hertsmere,E07000098,1.52652,17.89968,14.84244,11.96676,5.36364,15.41364,20.56896,17.25084,6.84468,1.27836,7.51932
North Hertfordshire,E07000099,10.80444,9.15204,7.39116,12.9852,8.54268,15.95964,6.82068,13.13328,6.58536,10.49412,8.61912
Three Rivers,E07000102,20.46708,24.33996,11.29212,5.3442,-5.75712,-1.48056,0.6642,12.01968,12.10956,14.69568,10.5696
Watford,E07000103,11.7162,8.56056,5.29656,8.12964,16.9128,19.60428,12.90684,-0.08448,-3.14388,-0.78528,5.2698
Ashford,E07000105,14.64876,9.00732,15.46344,10.25376,12.86028,5.48808,11.90472,8.22468,2.33832,-8.73396,-6.6132
Canterbury,E07000106,9.93516,21.68004,19.14168,8.8236,5.49408,8.06352,18.8034,16.29048,9.77232,1.27944,-6.9612
Dartford,E07000107,9.89328,12.3408,18.26856,15.05988,9.79584,2.07528,2.20152,2.57244,2.33424,-5.02968,-3.56148
Dover,E07000108,16.39056,9.141,18.20916,-0.96624,12.62436,4.28424,20.46264,7.371,11.34072,2.39016,5.10576
Gravesham,E07000109,23.1204,18.7044,11.27364,0.26964,-1.09224,2.71764,14.96004,16.20252,11.37516,0.51888,-0.12576
Maidstone,E07000110,12.17412,6.58572,16.69488,9.0828,12.86892,8.64984,13.20444,13.2534,11.18784,3.7098,5.1564
Sevenoaks,E07000111,12.59988,19.03836,17.82528,10.47396,6.27936,4.57308,7.61328,2.91624,3.82956,4.70352,8.46864
Shepway,E07000112,17.06664,17.05956,21.97356,18.14808,17.15184,9.78012,4.61328,4.10508,5.9202,-0.80064,-4.4226
Swale,E07000113,6.19032,14.46288,4.98588,4.72332,10.13796,16.8492,24.02184,12.95424,4.10424,-10.72812,-2.38872
Thanet,E07000114,12.55992,14.02968,20.80152,8.99304,2.35704,-3.48792,11.79852,15.66984,20.29932,8.04216,0.65268
Tonbridge and Malling,E07000115,23.10216,16.41396,13.58532,8.4966,8.97816,7.2684,5.74476,1.96404,8.18064,8.51592,14.34984
Tunbridge Wells,E07000116,3.243,16.75392,14.40696,19.3794,19.75212,21.32412,12.40164,3.05868,4.359,4.39056,6.34272
Burnley,E07000117,9.56784,13.623,9.76068,-1.10556,3.11268,3.38244,6.64944,1.55148,6.85704,8.18148,13.50576
Chorley,E07000118,3.8976,14.54496,8.62272,9.00852,1.48452,15.255,17.33556,19.90656,6.61704,0.15408,-3.55416
Fylde,E07000119,12.68256,17.77524,6.74364,6.12696,4.74684,5.22168,5.28144,-1.53948,10.82616,5.48616,5.44524
Hyndburn,E07000120,3.8418,4.93824,-0.38184,-4.29456,-1.24872,7.41804,19.92588,14.09604,9.44796,4.22172,5.45196
Lancaster,E07000121,16.60248,10.88508,8.01552,9.14124,7.03596,9.52404,2.95344,5.06328,7.96248,15.4098,10.21764
Pendle,E07000122,7.66452,6.58068,10.90308,13.80648,13.70412,15.03948,13.25328,9.45924,3.77904,0.74784,4.05768
Preston,E07000123,9.63228,4.68816,9.09396,4.15632,10.97748,21.5454,21.22392,17.63292,3.18216,0.40332,3.91776
Ribble Valley,E07000124,11.19396,27.1068,19.26804,16.33656,1.50216,2.00304,16.71384,27.55236,22.88916,13.32792,7.85484
Rossendale,E07000125,16.5138,10.09188,9.7908,-7.758,5.40444,3.79428,29.7018,21.59868,18.35748,-2.49204,4.94016
South Ribble,E07000126,11.85768,3.68592,1.23576,9.89892,21.65976,20.754,18.15648,5.1576,6.393,0.7458,4.90092
West Lancashire,E07000127,8.23908,22.87644,17.47776,20.90844,2.90952,8.77536,5.22756,12.30228,13.20612,10.37664,10.62324
Wyre,E07000128,10.52688,13.15032,19.26672,9.0924,12.7806,7.14012,6.74136,0.08772,6.51384,13.54116,12.12348
Blaby,E07000129,3.7842,14.34768,4.01532,3.89316,-3.72084,7.44552,12.23112,15.01164,5.08896,3.03036,3.79788
Charnwood,E07000130,7.06404,11.57172,17.72796,16.70364,9.41412,6.51228,3.56748,11.38656,15.05748,15.85344,7.06044
Harborough,E07000131,17.625,8.78424,12.5274,-3.57288,3.95472,4.10556,10.46088,9.62748,7.93512,9.97944,10.23096
Hinckley and Bosworth,E07000132,11.6952,15.528,9.97008,7.782,1.92264,6.3978,7.60212,10.8426,5.00856,1.96536,2.36784
Melton,E07000133,11.83776,15.17136,5.22072,17.49624,11.49324,13.30764,0.48636,-2.80848,7.5114,12.06372,18.05436
North West Leicestershire,E07000134,-0.34464,9.02124,10.79724,15.49944,14.3442,17.84484,9.45996,-1.8186,-2.20872,1.48812,16.32468
Oadby and Wigston,E07000135,-2.8998,12.4392,22.80996,17.01984,-1.60392,-11.93928,6.11448,16.3956,20.40228,-1.01688,-2.78736
Boston,E07000136,3.873,12.29352,10.55916,8.92332,12.48816,18.24516,23.65512,12.93804,5.715,3.47916,0.8034
East Lindsey,E07000137,7.99128,9.08292,0.94812,1.51032,2.36376,7.2282,6.0936,9.6108,13.84344,16.15236,7.00656
Lincoln,E07000138,12.43584,8.2566,1.44108,7.5582,8.05548,8.82084,9.41388,4.6344,12.85488,0.60636,3.31068
North Kesteven,E07000139,5.6052,25.1604,13.13196,14.38332,4.131,17.6526,16.9992,14.23716,13.7016,11.25228,12.77172
South Holland,E07000140,11.13156,17.2662,10.86696,7.1106,8.60136,14.31708,15.32628,10.40964,3.76896,1.62684,-0.15024
South Kesteven,E07000141,5.05812,-2.54052,4.6392,13.49196,23.4996,22.65888,13.1388,6.3402,0.37008,3.873,5.23476
West Lindsey,E07000142,11.5386,25.52532,26.79648,19.70292,9.30636,2.85096,3.86664,-1.85304,5.87568,5.031,12.52824
Breckland,E07000143,15.77112,17.54352,11.98584,11.50416,9.22776,7.58352,6.58416,4.50588,6.25668,2.5248,-0.65568
Broadland,E07000144,4.14312,5.30016,12.61812,9.54492,14.118,16.9278,19.6638,11.29056,-5.45928,-7.06056,-6.29052
Great Yarmouth,E07000145,9.06324,7.69404,12.45036,9.32976,8.65848,5.394,6.32976,4.44204,3.19512,3.87156,2.38884
King's Lynn and West Norfolk,E07000146,15.06324,12.89976,8.78928,13.88952,10.07304,7.602,4.2576,8.19612,5.0838,2.40912,1.74456
North Norfolk,E07000147,-6.5628,-2.1012,2.77836,14.64144,15.90396,20.72748,16.24404,6.78852,-1.26168,2.27736,4.29372
Norwich,E07000148,3.3954,2.17512,10.36968,7.33044,4.17108,4.58316,18.79356,24.50016,22.88976,9.6132,-5.1192
South Norfolk,E07000149,9.95544,2.05944,-1.51848,-0.21444,7.33728,12.33372,11.25036,13.6854,8.02728,8.53704,-2.81844
Corby,E07000150,0.9534,0.4032,-1.3146,-0.10476,10.75212,20.8008,33.74628,19.50648,6.897,-6.24084,-8.83116
Daventry,E07000151,8.78256,8.57772,6.37932,8.12808,13.04412,16.19328,6.57192,6.13044,7.44048,18.7944,20.20692
East Northamptonshire,E07000152,8.90016,15.95304,22.17888,12.74676,8.8932,4.85724,9.92076,0.81468,2.92644,-3.52644,4.49928
Kettering,E07000153,9.183,13.86732,19.1412,11.0292,8.20932,-2.48508,9.5718,8.82336,14.48688,7.24836,6.63024
Northampton,E07000154,11.11872,10.55388,3.84288,9.75888,2.16096,6.93816,-1.56312,11.69856,9.52404,13.2444,4.45524
South Northamptonshire,E07000155,19.27608,17.38488,11.15964,6.405,8.262,17.07384,21.2892,17.73372,5.75796,-12.88584,-9.83724
Wellingborough,E07000156,17.20308,22.57752,9.88884,9.37692,16.22184,22.61148,21.16692,12.40524,7.79688,-4.42572,-7.83876
Craven,E07000163,8.84676,8.30688,2.32236,10.28148,4.3614,13.01832,7.39092,14.67864,7.86204,8.74764,3.55524
Hambleton,E07000164,11.98332,7.68396,19.72812,12.87168,23.4588,10.2066,9.2496,-1.41408,1.40292,1.28472,9.37572
Harrogate,E07000165,16.7814,20.48232,6.5844,2.17908,-1.42632,13.32048,17.13528,19.45188,10.72416,4.43424,0.30432
Richmondshire,E07000166,18.30876,17.42736,5.92452,6.9792,-5.25924,7.25784,11.09076,25.6848,23.3274,14.6898,3.63432
Ryedale,E07000167,8.19648,5.68608,15.47868,6.59172,20.69148,17.34528,18.4476,5.86164,-8.05056,-3.71448,0.80988
Scarborough,E07000168,-5.4036,9.52236,15.6588,19.45152,16.89816,6.16296,0.95868,-3.55764,4.2522,8.96952,10.1298
Selby,E07000169,11.52468,12.60312,9.1602,11.30112,18.6612,11.78796,6.49644,-9.7032,3.393,6.91956,17.08128
Ashfield,E07000170,13.79556,13.64976,14.53632,16.96608,10.0308,11.27496,6.69228,16.05348,7.15272,6.54288,-2.71776
Bassetlaw,E07000171,16.40076,12.09108,5.97324,11.52348,12.5352,14.75652,11.14992,10.65792,6.6738,1.758,0.50508
Broxtowe,E07000172,18.48144,14.10336,7.08792,5.86848,5.72748,10.3182,10.9044,18.30492,11.20104,6.85284,-0.53628
Gedling,E07000173,9.99132,8.17248,1.88328,2.41332,6.43236,20.08332,19.77372,16.61208,1.00116,-10.73892,-4.9914
Mansfield,E07000174,8.2698,0.705,7.05756,7.0122,21.75516,20.80416,20.60172,12.57036,3.24252,-1.6536,-6.54072
Newark and Sherwood,E07000175,17.88564,12.85428,2.5362,-2.06148,3.0996,15.04848,20.12232,17.94168,12.456,8.17068,5.892
Rushcliffe,E07000176,14.40372,10.60596,8.85528,8.60424,6.05568,7.07184,6.17688,12.88488,8.38956,7.9866,6.03168
Cherwell,E07000177,13.1898,10.82772,7.25172,2.79804,1.30116,9.36132,15.70008,20.98236,7.30872,1.71972,-4.83564
Oxford,E07000178,9.09192,12.17748,1.7424,7.899,9.25176,11.13792,9.69972,5.59008,16.37196,17.78076,20.66388
South Oxfordshire,E07000179,7.54764,7.3476,7.24296,10.15356,10.866,8.5122,12.63264,13.40748,13.14096,10.76076,2.03148
Vale of White Horse,E07000180,9.66768,17.62008,10.28844,21.12264,13.73676,13.97592,3.82752,0.95556,3.79812,8.24688,14.1162
West Oxfordshire,E07000181,10.41444,7.56204,1.11516,8.56932,4.41624,14.9508,6.69696,10.2006,8.8638,11.913,15.15612
Mendip,E07000187,7.80684,13.0476,21.05796,18.53928,19.5306,13.75656,9.7476,4.55772,0.64416,-4.035,0.62844
Sedgemoor,E07000188,6.16296,11.50656,4.96536,5.91072,0.89268,18.91248,23.2566,20.61444,4.34652,-4.7094,-1.6362
South Somerset,E07000189,13.0422,11.95236,4.05588,9.45204,3.37452,8.1462,10.2288,16.71084,11.98068,2.19828,-5.83824
Taunton Deane,E07000190,12.12756,9.7344,12.77964,6.64152,7.83228,4.60596,11.86224,12.95436,11.1288,-0.89388,-8.17536
