AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11
Basingstoke and Deane,E07000084,8.20536,8.9904,13.76784,8.04444,-1.23216,-9.23316,8.9904,13.76784,8.04444,-1.23216,-9.23316
East Hampshire,E07000085,17.75496,11.14368,7.65672,1.75488,6.79272,6.27468,11.14368,7.65672,1.75488,6.79272,6.27468
Eastleigh,E07000086,23.1324,18.42024,15.30024,4.40736,5.83284,5.01972,18.42024,15.30024,4.40736,5.83284,5.01972
Fareham,E07000087,-6.09708,-0.83388,2.3274,2.30652,1.69428,5.63568,-0.83388,2.3274,2.30652,1.69428,5.63568
Gosport,E07000088,2.06724,3.75996,-7.60632,-3.95784,-3.91116,11.72688,3.75996,-7.60632,-3.95784,-3.91116,11.72688
Hart,E07000089,12.34476,17.26044,14.01252,0.15468,-0.27348,-1.77888,17.26044,14.01252,0.15468,-0.27348,-1.77888
Havant,E07000090,4.8756,4.22244,3.98832,6.80472,7.51848,8.17392,4.22244,3.98832,6.80472,7.51848,8.17392
New Forest,E07000091,14.16108,12.91284,9.5262,5.6934,2.27568,4.69164,12.91284,9.5262,5.6934,2.27568,4.69164
Rushmoor,E07000092,-5.77164,1.9452,8.81124,5.74416,6.32616,13.12896,1.9452,8.81124,5.74416,6.32616,13.12896
Test Valley,E07000093,10.40244,11.01156,3.03864,6.83028,6.1494,3.48048,11.01156,3.03864,6.83028,6.1494,3.48048
Winchester,E07000094,21.3828,18.29484,14.7492,2.75232,-3.74892,-1.43808,18.29484,14.7492,2.75232,-3.74892,-1.43808
Broxbourne,E07000095,14.10096,9.88272,0.01896,2.36736,3.4212,11.09472,9.88272,0.01896,2.36736,3.4212,11.09472
Dacorum,E07000096,10.49148,-1.99056,-3.5148,3.47328,11.8212,15.02964,-1.99056,-3.5148,3.47328,11.8212,15.02964
Hertsmere,E07000098,15.41364,20.56896,17.25084,6.84468,1.27836,7.51932,20.56896,17.25084,6.84468,1.27836,7.51932
North Hertfordshire,E07000099,15.95964,6.82068,13.13328,6.58536,10.49412,8.61912,6.82068,13.13328,6.58536,10.49412,8.61912
Three Rivers,E07000102,-1.48056,0.6642,12.01968,12.10956,14.69568,10.5696,0.6642,12.01968,12.10956,14.69568,10.5696
Watford,E07000103,19.60428,12.90684,-0.08448,-3.14388,-0.78528,5.2698,12.90684,-0.08448,-3.14388,-0.78528,5.2698
Ashford,E07000105,5.48808,11.90472,8.22468,2.33832,-8.73396,-6.6132,11.90472,8.22468,2.33832,-8.73396,-6.6132
Canterbury,E07000106,8.06352,18.8034,16.29048,9.77232,1.27944,-6.9612,18.8034,16.29048,9.77232,1.27944,-6.9612
Dartford,E07000107,2.07528,2.20152,2.57244,2.33424,-5.02968,-3.56148,2.20152,2.57244,2.33424,-5.02968,-3.56148
Dover,E07000108,4.28424,20.46264,7.371,11.34072,2.39016,5.10576,20.46264,7.371,11.34072,2.39016,5.10576
Gravesham,E07000109,2.71764,14.96004,16.20252,11.37516,0.51888,-0.12576,14.96004,16.20252,11.37516,0.51888,-0.12576
Maidstone,E07000110,8.64984,13.20444,13.2534,11.18784,3.7098,5.1564,13.20444,13.2534,11.18784,3.7098,5.1564
Sevenoaks,E07000111,4.57308,7.61328,2.91624,3.82956,4.70352,8.46864,7.61328,2.91624,3.82956,4.70352,8.46864
Shepway,E07000112,9.78012,4.61328,4.10508,5.9202,-0.80064,-4.4226,4.61328,4.10508,5.9202,-0.80064,-4.4226
Swale,E07000113,16.8492,24.02184,12.95424,4.10424,-10.72812,-2.38872,24.02184,12.95424,4.10424,-10.72812,-2.38872
Thanet,E07000114,-3.48792,11.79852,15.66984,20.29932,8.04216,0.65268,11.79852,15.66984,20.29932,8.04216,0.65268
Tonbridge and Malling,E07000115,7.2684,5.74476,1.96404,8.18064,8.51592,14.34984,5.74476,1.96404,8.18064,8.51592,14.34984
Tunbridge Wells,E07000116,21.32412,12.40164,3.05868,4.359,4.39056,6.34272,12.40164,3.05868,4.359,4.39056,6.34272
Burnley,E07000117,3.38244,6.64944,1.55148,6.85704,8.18148,13.50576,6.64944,1.55148,6.85704,8.18148,13.50576
Chorley,E07000118,15.255,17.33556,19.90656,6.61704,0.15408,-3.55416,17.33556,19.90656,6.61704,0.15408,-3.55416
Fylde,E07000119,5.22168,5.28144,-1.53948,10.82616,5.48616,5.44524,5.28144,-1.53948,10.82616,5.48616,5.44524
Hyndburn,E07000120,7.41804,19.92588,14.09604,9.44796,4.22172,5.45196,19.92588,14.09604,9.44796,4.22172,5.45196
Lancaster,E07000121,9.52404,2.95344,5.06328,7.96248,15.4098,10.21764,2.95344,5.06328,7.96248,15.4098,10.21764
Pendle,E07000122,15.03948,13.25328,9.45924,3.77904,0.74784,4.05768,13.25328,9.45924,3.77904,0.74784,4.05768
Preston,E07000123,21.5454,21.22392,17.63292,3.18216,0.40332,3.91776,21.22392,17.63292,3.18216,0.40332,3.91776
Ribble Valley,E07000124,2.00304,16.71384,27.55236,22.88916,13.32792,7.85484,16.71384,27.55236,22.88916,13.32792,7.85484
Rossendale,E07000125,3.79428,29.7018,21.59868,18.35748,-2.49204,4.94016,29.7018,21.59868,18.35748,-2.49204,4.94016
South Ribble,E07000126,20.754,18.15648,5.1576,6.393,0.7458,4.90092,18.15648,5.1576,6.393,0.7458,4.90092
West Lancashire,E07000127,8.77536,5.22756,12.30228,13.20612,10.37664,10.62324,5.22756,12.30228,13.20612,10.37664,10.62324
Wyre,E07000128,7.14012,6.74136,0.08772,6.51384,13.54116,12.12348,6.74136,0.08772,6.51384,13.54116,12.12348
Blaby,E07000129,7.44552,12.23112,15.01164,5.08896,3.03036,3.79788,12.23112,15.01164,5.08896,3.03036,3.79788
Charnwood,E07000130,6.51228,3.56748,11.38656,15.05748,15.85344,7.06044,3.56748,11.38656,15.05748,15.85344,7.06044
Harborough,E07000131,4.10556,10.46088,9.62748,7.93512,9.97944,10.23096,10.46088,9.62748,7.93512,9.97944,10.23096
Hinckley and Bosworth,E07000132,6.3978,7.60212,10.8426,5.00856,1.96536,2.36784,7.60212,10.8426,5.00856,1.96536,2.36784
Melton,E07000133,13.30764,0.48636,-2.80848,7.5114,12.06372,18.05436,0.48636,-2.80848,7.5114,12.06372,18.05436
North West Leicestershire,E07000134,17.84484,9.45996,-1.8186,-2.20872,1.48812,16.32468,9.45996,-1.8186,-2.20872,1.48812,16.32468
Oadby and Wigston,E07000135,-11.93928,6.11448,16.3956,20.40228,-1.01688,-2.78736,6.11448,16.3956,20.40228,-1.01688,-2.78736
Boston,E07000136,18.24516,23.65512,12.93804,5.715,3.47916,0.8034,23.65512,12.93804,5.715,3.47916,0.8034
East Lindsey,E07000137,7.2282,6.0936,9.6108,13.84344,16.15236,7.00656,6.0936,9.6108,13.84344,16.15236,7.00656
Lincoln,E07000138,8.82084,9.41388,4.6344,12.85488,0.60636,3.31068,9.41388,4.6344,12.85488,0.60636,3.31068
North Kesteven,E07000139,17.6526,16.9992,14.23716,13.7016,11.25228,12.77172,16.9992,14.23716,13.7016,11.25228,12.77172
South Holland,E07000140,14.31708,15.32628,10.40964,3.76896,1.62684,-0.15024,15.32628,10.40964,3.76896,1.62684,-0.15024
South Kesteven,E07000141,22.65888,13.1388,6.3402,0.37008,3.873,5.23476,13.1388,6.3402,0.37008,3.873,5.23476
West Lindsey,E07000142,2.85096,3.86664,-1.85304,5.87568,5.031,12.52824,3.86664,-1.85304,5.87568,5.031,12.52824
Breckland,E07000143,7.58352,6.58416,4.50588,6.25668,2.5248,-0.65568,6.58416,4.50588,6.25668,2.5248,-0.65568
Broadland,E07000144,16.9278,19.6638,11.29056,-5.45928,-7.06056,-6.29052,19.6638,11.29056,-5.45928,-7.06056,-6.29052
Great Yarmouth,E07000145,5.394,6.32976,4.44204,3.19512,3.87156,2.38884,6.32976,4.44204,3.19512,3.87156,2.38884
King's Lynn and West Norfolk,E07000146,7.602,4.2576,8.19612,5.0838,2.40912,1.74456,4.2576,8.19612,5.0838,2.40912,1.74456
North Norfolk,E07000147,20.72748,16.24404,6.78852,-1.26168,2.27736,4.29372,16.24404,6.78852,-1.26168,2.27736,4.29372
Norwich,E07000148,4.58316,18.79356,24.50016,22.88976,9.6132,-5.1192,18.79356,24.50016,22.88976,9.6132,-5.1192
South Norfolk,E07000149,12.33372,11.25036,13.6854,8.02728,8.53704,-2.81844,11.25036,13.6854,8.02728,8.53704,-2.81844
Corby,E07000150,20.8008,33.74628,19.50648,6.897,-6.24084,-8.83116,33.74628,19.50648,6.897,-6.24084,-8.83116
Daventry,E07000151,16.19328,6.57192,6.13044,7.44048,18.7944,20.20692,6.57192,6.13044,7.44048,18.7944,20.20692
East Northamptonshire,E07000152,4.85724,9.92076,0.81468,2.92644,-3.52644,4.49928,9.92076,0.81468,2.92644,-3.52644,4.49928
Kettering,E07000153,-2.48508,9.5718,8.82336,14.48688,7.24836,6.63024,9.5718,8.82336,14.48688,7.24836,6.63024
Northampton,E07000154,6.93816,-1.56312,11.69856,9.52404,13.2444,4.45524,-1.56312,11.69856,9.52404,13.2444,4.45524
South Northamptonshire,E07000155,17.07384,21.2892,17.73372,5.75796,-12.88584,-9.83724,21.2892,17.73372,5.75796,-12.88584,-9.83724
Wellingborough,E07000156,22.61148,21.16692,12.40524,7.79688,-4.42572,-7.83876,21.16692,12.40524,7.79688,-4.42572,-7.83876
Craven,E07000163,13.01832,7.39092,14.67864,7.86204,8.74764,3.55524,7.39092,14.67864,7.86204,8.74764,3.55524
Hambleton,E07000164,10.2066,9.2496,-1.41408,1.40292,1.28472,9.37572,9.2496,-1.41408,1.40292,1.28472,9.37572
Harrogate,E07000165,13.32048,17.13528,19.45188,10.72416,4.43424,0.30432,17.13528,19.45188,10.72416,4.43424,0.30432
Richmondshire,E07000166,7.25784,11.09076,25.6848,23.3274,14.6898,3.63432,11.09076,25.6848,23.3274,14.6898,3.63432
Ryedale,E07000167,17.34528,18.4476,5.86164,-8.05056,-3.71448,0.80988,18.4476,5.86164,-8.05056,-3.71448,0.80988
Scarborough,E07000168,6.16296,0.95868,-3.55764,4.2522,8.96952,10.1298,0.95868,-3.55764,4.2522,8.96952,10.1298
Selby,E07000169,11.78796,6.49644,-9.7032,3.393,6.91956,17.08128,6.49644,-9.7032,3.393,6.91956,17.08128
Ashfield,E07000170,11.27496,6.69228,16.05348,7.15272,6.54288,-2.71776,6.69228,16.05348,7.15272,6.54288,-2.71776
Bassetlaw,E07000171,14.75652,11.14992,10.65792,6.6738,1.758,0.50508,11.14992,10.65792,6.6738,1.758,0.50508
Broxtowe,E07000172,10.3182,10.9044,18.30492,11.20104,6.85284,-0.53628,10.9044,18.30492,11.20104,6.85284,-0.53628
Gedling,E07000173,20.08332,19.77372,16.61208,1.00116,-10.73892,-4.9914,19.77372,16.61208,1.00116,-10.73892,-4.9914
Mansfield,E07000174,20.80416,20.60172,12.57036,3.24252,-1.6536,-6.54072,20.60172,12.57036,3.24252,-1.6536,-6.54072
Newark and Sherwood,E07000175,15.04848,20.12232,17.94168,12.456,8.17068,5.892,20.12232,17.94168,12.456,8.17068,5.892
Rushcliffe,E07000176,7.07184,6.17688,12.88488,8.38956,7.9866,6.03168,6.17688,12.88488,8.38956,7.9866,6.03168
Cherwell,E07000177,9.36132,15.70008,20.98236,7.30872,1.71972,-4.83564,15.70008,20.98236,7.30872,1.71972,-4.83564
Oxford,E07000178,11.13792,9.69972,5.59008,16.37196,17.78076,20.66388,9.69972,5.59008,16.37196,17.78076,20.66388
South Oxfordshire,E07000179,8.5122,12.63264,13.40748,13.14096,10.76076,2.03148,12.63264,13.40748,13.14096,10.76076,2.03148
Vale of White Horse,E07000180,13.97592,3.82752,0.95556,3.79812,8.24688,14.1162,3.82752,0.95556,3.79812,8.24688,14.1162
West Oxfordshire,E07000181,14.9508,6.69696,10.2006,8.8638,11.913,15.15612,6.69696,10.2006,8.8638,11.913,15.15612
Mendip,E07000187,13.75656,9.7476,4.55772,0.64416,-4.035,0.62844,9.7476,4.55772,0.64416,-4.035,0.62844
Sedgemoor,E07000188,18.91248,23.2566,20.61444,4.34652,-4.7094,-1.6362,23.2566,20.61444,4.34652,-4.7094,-1.6362
South Somerset,E07000189,8.1462,10.2288,16.71084,11.98068,2.19828,-5.83824,10.2288,16.71084,11.98068,2.19828,-5.83824
