areacd,value,value2
E02000421,6,0.62542673
E02000422,2,2.496893902
E02000423,1,1.661854371
E02000424,1,1.332520549
E02000425,4,0.537092363
E02000426,3,1.719040336
E02000427,8,2.430035283
E02000428,7,2.059003153
E02000429,5,2.600469551
E02000430,8,0.817976034
E02000431,10,1.79106808
E02000432,4,1.120028356
E02000433,5,0.814135347
E02000434,4,0.947581742
E02000435,2,0.113061683
E02000436,7,0.888716567
E02000437,8,2.250730531
E02000438,4,1.572369453
E02000439,13,1.765887965
E02000440,11,2.605204752
E02000441,6,0.556614533
E02000442,8,0.390595102
E02000443,5,1.476393723
E02000444,8,0.115651801
E02000445,10,2.463119861
E02000447,6,1.085214571
E02000448,4,1.732912616
E02000449,3,0.721374433
E02000451,2,2.428721654
E02000452,1,1.795706159
E02000453,12,1.219521457
E02000454,8,1.48845197
E02000455,2,2.282621832
E02000456,4,2.100154164
E02000457,4,2.886240376
E02000459,10,0.217654201
E02000460,11,2.25740426
E02000461,3,2.370101824
E02000462,10,1.467548458
E02000463,12,2.493791159
E02000464,2,2.214122672
E02000465,1,2.327189425
E02000466,4,1.952368733
E02000467,10,0.818607735
E02000468,13,2.763369726
E02000469,7,2.431560655
E02000470,10,1.742848064
E02000471,3,2.566974659
E02000472,10,0.872852588
E02000473,1,0.789414012
E02000474,4,1.130119316
E02000475,8,0.09921683
E02000476,8,0.012777304
E02000477,11,1.69591543
E02000478,5,1.080354627
E02000479,6,1.26824356
E02000480,10,1.113477118
E02000481,8,0.068882723
E02000482,6,1.584139921
E02000483,5,0.772730671
E02000484,7,0.836814355
E02000485,10,0.950282884
E02000486,11,1.91793588
E02000487,11,2.03013198
E02000488,8,1.972297296
E02000489,13,0.691587409
E02000490,9,0.66340488
E02000491,4,1.860502211
E02000492,13,1.095857306
E02000493,4,1.637960094
E02000494,10,2.664185359
E02000495,10,0.939272795
E02000496,4,2.46003282
E02000497,9,2.861577091
E02000498,5,0.285225304
E02000499,2,1.3432908
E02000500,10,1.216640262
E02000501,13,0.693136467
E02000502,13,2.545718979
E02000503,4,0.223868527
E02000504,4,0.745367063
E02000506,2,2.268173537
E02000507,12,0.966017022
E02000508,11,1.958913227
E02000509,9,2.822901695
E02000510,5,0.049955172
E02000511,7,1.663348383
E02000512,13,1.383508887
E02000513,13,1.727250365
E02000515,9,0.110716146
E02000516,10,1.972480508
E02000517,6,2.247737323
E02000518,3,1.95533084
E02000521,7,2.205446341
E02000522,9,1.373493183
E02000524,3,1.73473819
E02000525,6,1.880783241
E02000526,7,2.976832404
E02000530,4,2.506391069
E02000532,3,1.168560546
E02000535,4,1.444403999
E02000536,5,2.502178846
E02000537,6,1.4924079
E02000539,7,2.770521083
E02000540,9,2.887615945
E02000541,4,2.89524301
E02000542,1,1.900884908
E02000543,10,1.651074514
E02000546,7,2.708368845
E02000547,13,0.544726201
E02000549,2,2.281009328
E02000551,6,2.125378483
E02000552,10,0.054429351
E02000553,10,0.061327445
E02000554,9,0.604322479
E02000555,1,0.82436
E02000556,6,0.625050794
E02000557,13,1.472233407
E02000558,9,2.628075845
E02000562,1,1.929967519
E02000563,8,2.489947619
E02000565,10,0.733294699
E02000567,4,1.876758349
E02000568,6,0.102345474
E02000569,9,1.965506942
E02000571,7,0.564936091
E02000572,8,0.019247591
E02000573,4,1.419538079
E02000575,11,2.266037275
E02000576,11,0.714573035
E02000577,8,2.450002047
E02000578,10,0.936673937
E02000579,5,0.056065688
E02000580,9,1.88403986
E02000582,9,2.753758635
E02000584,3,2.040670546
E02000585,10,1.911619993
E02000587,4,1.020852433
E02000588,2,2.699761935
E02000589,13,1.498441594
E02000590,8,0.104787737
E02000591,10,1.417919077
E02000592,4,0.428518321
E02000593,11,1.440689903
E02000594,3,2.945231005
E02000595,8,2.219530786
E02000596,1,2.196593023
E02000597,10,1.034838124
E02000598,9,0.016380341
E02000599,9,1.518167628
E02000600,10,0.784311806
E02000602,12,1.823181381
E02000603,13,0.830986269
E02000604,12,2.599774745
E02000605,10,2.986006938
E02000606,4,1.812234454
E02000607,12,1.311718422
E02000609,13,2.550771689
E02000610,6,1.234577274
E02000612,8,2.372688368
E02000613,5,0.28722048
E02000614,9,2.329015678
E02000615,4,0.285419755
E02000616,11,1.925898665
E02000617,7,0.676778373
E02000619,12,1.855304588
E02000620,5,1.806397308
E02000621,3,2.309301825
E02000622,1,0.847344482
E02000623,5,0.044267155
E02000624,2,0.464732474
E02000625,8,2.199314073
E02000626,7,2.33741644
E02000627,1,2.132904309
E02000628,10,2.759563766
E02000629,13,0.481598366
E02000630,7,0.979200905
E02000631,13,0.730945187
E02000632,13,1.898761044
E02000633,12,1.875251053
E02000634,2,2.301494913
E02000635,1,2.042634278
E02000636,6,1.433560584
E02000637,11,0.191760238
E02000638,1,1.097841543
E02000639,13,1.91924928
E02000640,13,0.576057209
E02000641,2,0.601649234
E02000642,8,2.694394436
E02000643,13,1.757950957
E02000644,8,1.079607398
E02000645,13,2.948249783
E02000646,10,0.526513304
E02000647,10,1.208113534
E02000648,10,0.064453502
E02000649,7,1.469935893
E02000650,13,1.337811266
E02000651,3,2.250787261
E02000652,7,2.159693279
E02000653,9,1.429667694
E02000654,2,2.903738651
E02000655,12,1.187821952
E02000657,1,0.232337613
E02000658,10,0.096076368
E02000659,5,2.10621565
E02000660,4,2.229145193
E02000661,4,2.635439263
E02000662,10,2.149662066
E02000663,10,2.268763442
E02000664,2,1.847701803
E02000665,2,2.135753063
E02000666,11,0.13986543
E02000667,10,1.767342301
E02000668,3,0.542251178
E02000669,5,1.125739467
E02000670,1,0.815777278
E02000671,7,1.092592433
E02000672,9,1.289178287
E02000673,3,0.133514514
E02000674,13,0.068652753
E02000675,2,0.14634197
E02000676,5,0.767331866
E02000677,7,2.261870834
E02000678,12,0.0113301
E02000679,2,0.364947852
E02000680,6,0.363730102
E02000681,7,0.998052621
E02000682,7,1.128399362
E02000683,12,0.648060842
E02000685,7,2.050726036
E02000686,3,2.062764954
E02000687,13,1.247006289
E02000689,8,0.069024164
E02000690,4,1.718594139
E02000691,2,0.261435052
E02000692,6,0.328751529
E02000693,5,2.290158645
E02000694,1,0.34480465
E02000695,3,0.447772439
E02000696,3,0.536308722
E02000697,1,2.163959675
E02000698,12,1.836535468
E02000699,5,0.951276271
E02000700,3,1.248009872
E02000701,7,0.758603208
E02000702,6,0.642287115
E02000703,9,2.003844781
E02000704,4,2.191041883
E02000705,8,2.94177127
E02000706,9,2.814893592
E02000707,4,2.224268762
E02000708,6,1.007499095
E02000709,12,1.070218671
E02000710,9,0.510451019
E02000711,8,1.20679482
E02000712,5,2.917067694
E02000713,11,0.516796399
E02000714,9,2.39366805
E02000715,9,1.436320455
E02000716,11,2.768673524
E02000717,12,1.356830113
E02000719,8,1.737946803
E02000720,3,0.738190099
E02000721,8,1.345881503
E02000722,12,2.242229236
E02000723,11,2.52691216
E02000724,2,1.354434656
E02000725,4,1.519285278
E02000726,4,1.886476944
E02000727,11,0.34862602
E02000728,7,0.780141329
E02000729,2,1.012372318
E02000730,5,0.602090756
E02000731,11,1.563843445
E02000732,10,0.46975349
E02000733,4,2.750016514
E02000734,3,2.028175516
E02000735,4,2.154196362
E02000736,3,1.110694632
E02000737,11,2.326481126
E02000738,3,2.75103621
E02000739,3,1.980644843
E02000740,8,1.182037525
E02000741,9,0.736557264
E02000742,10,2.024317724
E02000743,12,1.853129925
E02000744,11,1.081880324
E02000745,1,2.211733388
E02000746,10,2.461823945
E02000747,1,0.772004729
E02000748,9,2.819756574
E02000749,10,0.368486428
E02000750,11,0.276480726
E02000751,11,2.141313342
E02000752,6,0.103878316
E02000753,11,1.289854535
E02000754,1,0.293230257
E02000755,11,1.575770524
E02000756,12,1.73262391
E02000757,4,1.119274126
E02000758,3,2.585358034
E02000759,10,0.989814477
E02000760,4,1.023675104
E02000762,5,1.451625082
E02000763,2,0.590519067
E02000764,8,1.071984985
E02000767,5,0.109490482
E02000768,13,1.57609305
E02000769,5,1.223113316
E02000770,5,1.79555745
E02000772,1,1.7136435
E02000773,5,1.83261807
E02000774,9,2.881440153
E02000776,9,1.649888226
E02000777,13,1.341887765
E02000779,11,1.173798868
E02000780,11,1.733341264
E02000781,2,2.844613424
E02000782,4,0.952914855
E02000784,2,1.789417053
E02000785,10,0.427536721
E02000786,11,0.968677422
E02000788,12,0.541920461
E02000789,11,0.068213058
E02000790,5,2.429787154
E02000791,6,1.302941007
E02000792,2,1.831540154
E02000793,12,1.910741016
E02000794,12,1.4316084
E02000795,9,1.643615535
E02000796,11,0.205987736
E02000797,7,2.674804523
E02000798,7,0.156234397
E02000799,13,0.405799941
E02000800,11,0.470249581
E02000802,6,2.010983525
E02000803,4,0.960078949
E02000804,5,1.45796033
E02000805,12,1.515934929
E02000806,7,1.364954701
E02000807,6,2.888091309
E02000810,7,2.568368559
E02000812,11,2.423847804
E02000813,11,1.671313514
E02000814,7,2.148624803
E02000815,1,1.963685918
E02000816,9,1.848892507
E02000817,13,0.648502917
E02000818,11,1.132725734
E02000819,2,0.790186781
E02000820,10,1.977561758
E02000821,3,2.919623321
E02000822,9,2.002993921
E02000823,1,0.583010424
E02000824,7,0.466981944
E02000825,3,1.123777525
E02000826,13,1.958459141
E02000827,2,0.508053457
E02000828,7,1.478440133
E02000829,11,1.803643265
E02000830,6,0.374367753
E02000831,4,2.983814839
E02000832,10,2.059739391
E02000833,11,0.009953996
E02000834,7,0.150982586
E02000835,2,2.634161684
E02000836,10,0.815951757
E02000837,3,2.448290148
E02000838,9,1.967822047
E02000839,7,0.665159494
E02000840,10,0.279440474
E02000841,10,2.715826424
E02000842,4,2.151336502
E02000843,7,0.853016856
E02000844,3,1.092446274
E02000845,3,2.723670116
E02000846,7,0.986593935
E02000847,4,0.321567356
E02000848,13,2.250096304
E02000849,3,0.196001016
E02000850,11,1.67913533
E02000851,4,1.245783905
E02000852,1,1.093503015
E02000853,7,0.351263066
E02000854,11,1.682590395
E02000855,11,2.543271202
E02000856,5,2.148675372
E02000857,11,0.540637989
E02000858,6,0.297089575
E02000859,13,1.563025374
E02000860,2,1.005614212
E02000861,13,0.139567408
E02000863,11,0.469967806
E02000864,10,2.955724526
E02000866,6,0.579582541
E02000867,11,2.280614217
E02000868,4,2.917003526
E02000869,3,2.164507785
E02000871,12,2.886707279
E02000873,12,1.194092114
E02000875,10,0.745827779
E02000877,9,2.243825463
E02000878,7,1.040877762
E02000879,7,0.704438551
E02000881,12,2.822008835
E02000882,9,0.39922985
E02000883,2,2.140760586
E02000884,8,2.935024333
E02000885,5,1.483049454
E02000887,10,0.862960022
E02000893,5,2.432591725
E02000894,12,1.242777917
E02000895,8,2.764022965
E02000896,8,0.017454203
E02000897,8,2.458892811
E02000898,13,1.429729883
E02000899,7,2.526878408
E02000900,13,2.761850727
E02000901,1,0.379425851
E02000902,2,0.762192462
E02000903,9,2.932264806
E02000904,4,0.356697127
E02000905,5,1.539230643
E02000906,7,2.814491853
E02000907,13,1.527120642
E02000908,12,0.640783994
E02000909,5,0.051146175
E02000910,7,0.117917188
E02000911,3,2.110941793
E02000912,12,2.264264699
E02000913,8,0.533202607
E02000914,10,0.679547245
E02000915,13,2.773337421
E02000916,10,0.494923467
E02000917,9,0.624375894
E02000918,13,0.596336176
E02000919,6,1.959801449
E02000920,1,1.390425572
E02000921,3,1.137616278
E02000922,1,0.483335522
E02000923,12,2.793144831
E02000924,5,0.865357743
E02000925,13,1.039077521
E02000926,7,0.209542924
E02000927,10,1.598055292
E02000929,5,0.783824868
E02000930,2,2.743501582
E02000931,4,0.048436669
E02000932,11,1.526567207
E02000933,12,1.075871802
E02000934,3,1.658431169
E02000935,11,1.773717615
E02000936,8,0.422748515
E02000937,7,2.536380286
E02000938,4,1.353355244
E02000939,5,0.733922727
E02000940,11,1.289341452
E02000941,9,2.072800584
E02000942,9,2.609644145
E02000943,3,2.736069045
E02000944,3,0.980890734
E02000945,11,1.082933083
E02000946,4,2.998088866
E02000947,2,1.248073687
E02000948,3,1.226986079
E02000949,3,2.085347256
E02000950,11,2.562231819
E02000951,1,0.487560834
E02000952,13,1.44048693
E02000953,6,0.01720852
E02000954,2,2.606687531
E02000955,10,1.331665391
E02000956,5,0.739989454
E02000957,4,0.462010306
E02000958,11,2.650108631
E02000959,5,0.420632489
E02000960,12,0.071871313
E02000961,9,1.879965371
E02000962,10,2.173763757
E02000963,3,2.203105296
E02000964,9,1.584767928
E02000966,12,1.267499247
E02000968,4,1.664333064
E02000970,6,2.171316693
E02000971,1,2.023011026
E02000972,2,2.941516174
E02000973,1,0.988373905
E02000976,3,2.663701913
E02000978,1,2.683475323
E02000979,1,2.468432068
E02000980,3,1.923417362
E02000981,4,0.165082741
E02000982,3,2.943754179
E02000983,3,0.836739857
E02000984,5,2.184939437
E02000985,12,1.222542858
E02000986,10,2.996149062
E02000987,13,1.486424177
E02000988,10,0.592351727
E02000989,5,0.594230819
E02000990,12,1.638901155
E02000991,8,0.814838803
E02000992,2,0.806062858
E02000993,12,2.168646309
E02000994,1,1.124205622
E02000995,13,0.170819563
E02000996,1,1.171619531
E02000997,5,1.932967785
E02000998,3,1.151335763
E02000999,8,1.500337583
E02001000,6,2.083822717
E02001001,5,1.454792372
E02001002,5,1.818511055
E02001003,8,0.224516785
E02001004,7,2.59531219
E02001005,5,1.248187653
E02001006,7,0.161093013
E02001007,7,1.748096811
E02001008,10,1.191047438
E02001009,12,1.735989883
E02001010,2,0.545692389
E02001011,8,0.39687168
E02001012,6,0.039082828
E02001013,13,1.099399041
E02001014,1,2.413107307
E02001015,5,0.095859031
E02001016,5,0.248297597
E02001017,3,2.648500102
E02001018,7,2.321752233
E02001019,11,2.756885904
E02001020,12,0.619925092
E02001021,11,2.694891577
E02001022,10,2.784395612
E02001023,7,2.207831949
E02001024,2,0.871929015
E02001025,1,2.021192878
E02001026,11,2.25618605
E02001027,4,1.718533758
E02001028,1,2.654741341
E02001029,8,1.587940438
E02001030,4,0.427742479
E02001031,7,1.272101848
E02001032,5,0.904746908
E02001034,3,2.137257937
E02001035,11,1.367387017
E02001036,13,2.794913498
E02001037,13,2.004070649
E02001038,13,1.954586404
E02001039,6,0.471129614
E02001040,4,1.663632182
E02001041,1,1.818757161
E02001042,4,2.861152912
E02001043,11,1.307095772
E02001044,9,1.177427527
E02001045,9,1.584608952
E02001046,11,0.515766431
E02001047,5,0.680715423
E02001048,3,0.587904252
E02001049,6,1.642106819
E02001050,11,2.768543481
E02001051,5,1.651850424
E02001052,7,1.988208757
E02001053,4,0.290154499
E02001055,1,2.865864964
E02001056,1,1.116772094
E02001057,1,1.215241998
E02001059,8,1.308077235
E02001061,10,1.338350916
E02001062,8,2.098738182
E02001063,2,0.235295627
E02001064,9,1.430323763
E02001066,1,0.465138417
E02001067,1,1.57479229
E02001068,5,0.922400766
E02001069,6,1.492605751
E02001070,8,0.494271413
E02001072,11,0.407954179
E02001073,3,2.196591515
E02001074,11,1.08433109
E02001075,5,0.926024562
E02001076,4,0.774804192
E02001077,7,1.477484816
E02001078,12,0.531202583
E02001079,8,0.788643288
E02001080,12,0.592842708
E02001081,7,2.754956733
E02001082,5,1.628122411
E02001083,1,0.555692869
E02001085,9,0.757425332
E02001086,9,2.216514313
E02001088,6,1.126794943
E02001090,12,2.94480517
E02001091,1,1.870945595
E02001092,13,0.768101257
E02001093,7,0.388887587
E02001094,5,1.15040213
E02001095,3,0.861565516
E02001096,5,1.10143776
E02001097,6,0.238737715
E02001098,4,0.309778816
E02001100,11,0.850079971
E02001101,3,0.712422205
E02001102,3,1.094995206
E02001103,8,1.297822456
E02001105,9,2.504323757
E02001106,7,2.068459227
E02001108,4,2.999167409
E02001109,8,2.210064004
E02001110,11,0.478894596
E02001111,8,0.066932352
E02001112,8,0.022298907
E02001113,5,1.494388471
E02001114,3,2.136126099
E02001115,7,1.109981192
E02001116,10,1.385044685
E02001117,11,0.402419074
E02001118,3,1.503189458
E02001119,6,1.813693032
E02001121,4,0.397685347
E02001124,9,2.08795244
E02001125,10,1.691355356
E02001126,3,2.314278427
E02001127,3,2.476006283
E02001128,6,0.142179002
E02001129,9,0.69144144
E02001130,13,1.56480969
E02001131,6,2.070489445
E02001132,8,1.291143749
E02001133,11,2.151674933
E02001134,11,1.162569753
E02001135,8,0.992280764
E02001136,12,1.0994979
E02001137,13,0.778391179
E02001138,5,1.978767086
E02001139,13,2.543671357
E02001140,6,1.730481634
E02001142,4,0.815657337
E02001143,1,2.158059106
E02001144,7,2.936923809
E02001145,2,0.620515362
E02001146,9,1.164009025
E02001147,2,0.675829801
E02001148,7,2.518727262
E02001149,10,2.244494188
E02001150,4,1.810588324
E02001151,13,0.560295925
E02001152,2,2.927131608
E02001153,10,2.508274826
E02001154,5,0.936801251
E02001155,13,2.115747416
E02001156,9,1.776779745
E02001157,10,0.010511439
E02001158,10,0.159020687
E02001159,12,1.702355895
E02001160,2,1.535145329
E02001161,11,1.931921383
E02001162,11,1.188185939
E02001163,12,1.245945816
E02001164,6,0.226037226
E02001165,10,1.059011648
E02001166,8,2.298917451
E02001167,7,2.111768989
E02001168,1,2.611020508
E02001169,10,0.124405645
E02001170,4,2.499825747
E02001171,12,2.842727617
E02001172,2,1.911697881
E02001173,5,0.084716262
E02001174,11,1.829119651
E02001176,5,0.456400717
E02001177,13,1.010011753
E02001178,11,1.357314
E02001179,3,1.436180578
E02001180,9,2.718289392
E02001181,4,1.164144038
E02001182,9,1.831839977
E02001183,3,0.003316517
E02001184,10,1.029067291
E02001185,2,1.903369272
E02001186,3,0.720453181
E02001187,13,2.267077008
E02001188,5,2.41147312
E02001189,8,2.668683688
E02001190,6,2.192754414
E02001191,4,0.226319443
E02001192,3,0.738821815
E02001194,3,0.899766922
E02001195,7,1.694329296
E02001196,6,2.634775914
E02001197,3,1.101277869
E02001198,11,1.664695057
E02001199,8,0.453058098
E02001200,12,0.7205103
E02001201,1,1.804067623
E02001202,11,1.409089592
E02001203,7,2.656185682
E02001204,8,0.267491378
E02001205,6,0.722936376
E02001206,4,0.340653993
E02001207,3,1.513567388
E02001208,3,0.080521144
E02001209,12,0.713389773
E02001210,9,1.686084574
E02001211,9,1.306858508
E02001212,3,2.929588685
E02001213,12,0.552838351
E02001214,7,2.115664896
E02001215,5,0.031448657
E02001216,12,1.144007052
E02001217,2,0.478366544
E02001218,5,0.030545137
E02001219,3,0.322064328
E02001220,6,0.56317484
E02001221,1,0.186855639
E02001222,2,0.567135364
E02001223,4,2.784055712
E02001224,6,0.337890262
E02001225,7,2.793348542
E02001226,13,0.719888498
E02001227,8,2.939365826
E02001228,10,2.249022207
E02001229,5,0.527559572
E02001230,11,0.354511339
E02001231,1,2.89639594
E02001232,12,2.629204773
E02001233,4,1.914445301
