id,unique,value
Administrative  & secretarial, Stock control clerks and assistants,21915
Administrative  & secretarial, Transport and distribution clerks and assistants,25198
Administrative  & secretarial, Library clerks and assistants,19829
Administrative  & secretarial, Human resources administrative occupations,20571
Administrative  & secretarial, Sales administrators,21370
Administrative  & secretarial, Other administrative occupations n.e.c.,21273
Administrative  & secretarial, Office managers,31427
Administrative  & secretarial, Office supervisors,26511
Administrative  & secretarial, Legal secretaries,21206
Administrative  & secretarial, School secretaries,19014
Administrative  & secretarial, Personal assistants and other secretaries,26727
Administrative  & secretarial, Receptionists,17471
Administrative  & secretarial, Typists and related keyboard occupations,19282
Skilled trades, Horticultural trades,19987
Skilled trades, Gardeners and landscape gardeners,20688
Skilled trades, Groundsmen and greenkeepers,20091
Skilled trades, Metal working production and maintenance fitters,32091
Skilled trades, Precision instrument makers and repairers,26553
Skilled trades," Vehicle technicians, mechanics and electricians",27363
Skilled trades, Electricians and electrical fitters,32315
Skilled trades, Electrical and electronic trades n.e.c.,32478
Skilled trades," Skilled metal, electrical and electronic trades supervisors",35629
Skilled trades, Plumbers and heating and ventilating engineers,31055
Skilled trades, Construction and building trades n.e.c.,26000
Skilled trades, Painters and decorators,24214
Skilled trades, Construction and building trades supervisors,36542
Skilled trades, Upholsterers,25238
Skilled trades, Footwear and leather working trades,20791
Skilled trades, Printers,25640
Skilled trades, Print finishing and binding workers,21930
Skilled trades, Butchers,21421
Skilled trades, Bakers and flour confectioners,19972
Skilled trades, Fishmongers and poultry dressers,18144
Skilled trades, Chefs,21403
Skilled trades, Cooks,16154
Skilled trades, Catering and bar managers,20740
Skilled trades,"Glass ceramics makers, decorators and finishers",19838
Skilled trades,Other skilled trades n.e.c.,25258
"Caring, leisure  & other services", Nursery nurses and assistants,16153
"Caring, leisure  & other services", Playworkers,17917
"Caring, leisure  & other services", Teaching assistants,16534
"Caring, leisure  & other services", Educational support assistants,15840
"Caring, leisure  & other services", Animal care services occupations n.e.c.,18244
"Caring, leisure  & other services", Nursing auxiliaries and assistants,20232
"Caring, leisure  & other services", Ambulance staff (excluding paramedics),23300
"Caring, leisure  & other services", Dental nurses,18755
"Caring, leisure  & other services", Houseparents and residential wardens,23304
"Caring, leisure  & other services", Care workers and home carers,18084
"Caring, leisure  & other services", Senior care workers,19983
"Caring, leisure  & other services"," Undertakers, mortuary and crematorium assistants",22844
"Caring, leisure  & other services", Sports and leisure assistants,18689
"Caring, leisure  & other services", Travel agents,20108
"Caring, leisure  & other services", Air travel assistants,23484
"Caring, leisure  & other services", Rail travel assistants,35056
"Caring, leisure  & other services", Hairdressers and barbers,15610
"Caring, leisure  & other services", Beauticians and related occupations,16534
"Caring, leisure  & other services", Housekeepers and related occupations,17677
"Caring, leisure  & other services", Caretakers,20893
"Caring, leisure  & other services", Cleaning and housekeeping managers and supervisors,19140
Sales &  customer service, Sales and retail assistants,17752
Sales &  customer service, Retail cashiers and check-out operators,16372
Sales &  customer service, Telephone salespersons,21249
Sales &  customer service, Pharmacy and other dispensing assistants,16388
Sales &  customer service, Vehicle and parts salespersons and advisers,24514
Sales &  customer service," Debt, rent and other cash collectors",18717
Sales &  customer service, Merchandisers and window dressers,21747
Sales &  customer service, Sales related occupations n.e.c.,23192
Sales &  customer service, Sales supervisors,21994
Sales &  customer service, Call and contact centre occupations,18796
Sales &  customer service, Telephonists,20374
Sales &  customer service, Communication operators,27231
Sales &  customer service, Customer service occupations n.e.c.,20735
Sales &  customer service, Customer service managers and supervisors,29131
"Process, plant &  machine operatives"," Food, drink and tobacco process operatives",20041
"Process, plant &  machine operatives", Glass and ceramics process operatives,21678
"Process, plant &  machine operatives", Textile process operatives,24062
"Process, plant &  machine operatives", Chemical and related process operatives,29564
"Process, plant &  machine operatives", Plastics process operatives,21134
"Process, plant &  machine operatives", Process operatives n.e.c.,21518
"Process, plant &  machine operatives", Paper and wood machine operatives,21846
"Process, plant &  machine operatives", Energy plant operatives,29516
"Process, plant &  machine operatives", Metal working machine operatives,23106
"Process, plant &  machine operatives", Water and sewerage plant operatives,29708
"Process, plant &  machine operatives", Printing machine assistants,22090
"Process, plant &  machine operatives", Assemblers (electrical and electronic products),22634
"Process, plant &  machine operatives", Assemblers (vehicles and metal goods),34208
"Process, plant &  machine operatives", Routine inspectors and testers,25566
"Process, plant &  machine operatives"," Weighers, graders and sorters",24127
"Process, plant &  machine operatives", Sewing machinists,17347
"Process, plant &  machine operatives", Assemblers and routine operatives n.e.c.,21159
"Process, plant &  machine operatives", Construction operatives n.e.c.,24882
"Process, plant &  machine operatives", Large goods vehicle drivers,29738
"Process, plant &  machine operatives", Van drivers,22250
"Process, plant &  machine operatives", Bus and coach drivers,26349
"Process, plant &  machine operatives", Fork-lift truck drivers,22189
"Process, plant &  machine operatives", Mobile machine drivers and operatives n.e.c.,28714
"Process, plant &  machine operatives", Train and tram drivers,53403
Elementary, Farm workers,21775
Elementary, Elementary construction occupations,21996
Elementary, Industrial cleaning process occupations,19569
Elementary," Packers, bottlers, canners and fillers",18973
Elementary, Elementary process plant occupations n.e.c.,20935
Elementary," Postal workers, mail sorters, messengers and couriers",26042
Elementary, Cleaners and domestics,16387
Elementary," Launderers, dry cleaners and pressers",15614
Elementary, Refuse and salvage occupations,19798
Elementary, Vehicle valeters and cleaners,17424
Elementary, Security guards and related occupations,23307
Elementary, Parking and civil enforcement occupations,20359
Elementary, Elementary security occupations n.e.c.,22416
Elementary, Shelf fillers,16320
Elementary, Elementary sales occupations n.e.c.,16821
Elementary, Elementary storage occupations,21009
Elementary, Hospital porters,19965
Elementary, Kitchen and catering assistants,15705
Elementary, Waiters and waitresses,15454
Elementary, Bar staff,15072
Elementary, Leisure and theme park attendants,15926
Elementary, Other elementary services occupations n.e.c.,16926
