AREANM,AREACD,percent_change,population_change,natural_change,all_migration_net,net_within_uk_migration,net_international_migration,births,deaths,internal_migration_in,internal_migration_out,international_migration_in,international_migration_out,crossborder_in,crossborder_out
Welwyn Hatfield,E07000241,10.7,12890,5043,7941,-1426,9367,14903,9861,89788,90908,17632,8265,1711,2017
East Hertfordshire,E07000242,9.1,13352,4705,8561,5391,3171,16485,11780,82899,77073,6618,3447,1701,2136
Stevenage,E07000243,6.2,5372,3682,1634,216,1418,11569,7886,40837,40291,3385,1967,817,1146
Bolton,E08000001,3.4,9711,10596,-882,-6779,5897,36269,25672,83327,89073,16686,10789,3450,4483
Bury,E08000002,3,5693,4855,802,-811,1613,23384,18528,71706,71818,7761,6148,2408,3107
Manchester,E08000003,8.1,44038,49386,-5054,-40155,35101,83487,34101,348521,391296,118696,83596,22150,19530
Oldham,E08000004,4.9,11449,11087,383,-7121,7504,32143,21055,65043,71600,13465,5961,2785,3349
Rochdale,E08000005,3.4,7379,8216,-853,-5223,4370,28122,19906,65960,69836,10991,6620,2466,3813
Salford,E08000006,8.7,21514,14362,7084,-3947,11031,35995,21633,124046,128282,27804,16773,6298,6010
Stockport,E08000007,4.9,14085,6619,7384,8219,-835,34520,27900,109372,99636,6948,7783,4280,5797
Tameside,E08000008,2.8,6354,5548,744,-206,950,28025,22477,70243,69143,6156,5205,2676,3982
Trafford,E08000009,6.3,14833,7336,7421,7397,24,27262,19926,106531,97920,9285,9261,4044,5259
Wigan,E08000010,2.2,7032,1701,5266,1067,4199,34390,32688,78085,76301,9612,5414,3730,4447
Knowsley,E08000011,3.1,4560,3564,925,493,432,18834,15270,57001,55910,1770,1338,1737,2334
Liverpool,E08000012,6.3,30717,18653,12127,-15478,27605,62079,43426,202983,222401,65285,37679,23673,19734
St. Helens,E08000013,2.7,4837,139,4590,4164,427,19483,19345,49403,44903,2861,2434,2479,2816
Sefton,E08000014,1.5,4227,-5486,9609,8671,938,27367,32854,85062,75822,6341,5403,4016,4586
Wirral,E08000015,1.3,4153,-2601,6615,6573,42,33720,36321,71274,63919,5829,5788,8419,9201
Barnsley,E08000016,6.9,16570,2612,13879,8011,5868,27471,24859,68850,60708,9214,3346,2036,2166
Doncaster,E08000017,1.9,5804,2335,3353,-3365,6718,33481,31146,75814,79171,13427,6709,3171,3180
Rotherham,E08000018,3,7847,2794,4997,1859,3138,29881,27087,74341,72133,6817,3679,2048,2396
Sheffield,E08000019,5.4,30951,20970,10169,-19543,29712,69445,48475,230469,249352,64233,34521,8335,8995
Newcastle upon Tyne,E08000021,4.2,12289,10020,2366,-13343,15709,34549,24529,179347,192792,48298,32589,12524,12423
North Tyneside,E08000022,2.7,5536,-223,5632,5179,453,21564,21786,72445,66457,4677,4224,3220,4029
South Tyneside,E08000023,1.2,1790,-1046,2816,1710,1106,15489,16536,33862,31631,3299,2193,1724,2246
Sunderland,E08000024,0.6,1776,-1321,3091,-4275,7366,28518,29839,64062,67977,13786,6420,2924,3284
Birmingham,E08000025,7.2,81388,94516,-12762,-59923,47161,177024,82507,415610,475209,126611,79450,18460,18784
Coventry,E08000026,14.9,52507,25941,26350,-22065,48415,52875,26934,164097,185934,77083,28668,6124,6352
Dudley,E08000027,2.5,8086,5119,2894,635,2259,36713,31594,92672,91083,6302,4043,2787,3741
Sandwell,E08000028,7,22705,18075,4625,-9452,14077,46229,28154,129732,137815,22188,8110,2611,3980
Solihull,E08000029,5.3,11203,2659,8464,7259,1205,22868,20209,98581,90787,4778,3573,2512,3048
Walsall,E08000030,5.7,16028,10543,5445,920,4526,37142,26598,97368,95563,9592,5066,2966,3852
Wolverhampton,E08000031,5,12923,8869,3994,-6952,10945,33615,24746,93285,99151,23731,12786,3460,4545
Bradford,E08000032,2,10509,29579,-19230,-29415,10185,73807,44228,138704,166123,34107,23922,5127,7123
Calderdale,E08000033,3.5,7229,4282,2821,824,1997,24076,19794,67390,65642,6260,4263,2255,3178
Kirklees,E08000034,4.3,18540,14009,4449,-3673,8122,53073,39064,129501,132066,23243,15121,4333,5441
Leeds,E08000035,5.3,41245,37454,4006,-7800,11807,102563,65109,366550,373466,69403,57597,14487,15370
Wakefield,E08000036,5.1,17262,5071,12033,5363,6670,38722,33651,95682,90041,12515,5845,2908,3186
Gateshead,E08000037,2.1,4305,624,3233,1255,1978,22339,21716,71352,69979,7241,5263,3436,3554
City of London,E09000001,-13.1,-946,-176,-790,706,-1496,493,669,8082,7405,6808,8305,205,176
Barking and Dagenham,E09000002,15.4,32115,26234,5878,-16642,22520,38388,12154,132327,148243,30135,7615,1432,2157
Barnet,E09000003,10.5,40339,26588,13466,-20962,34429,51860,25273,219357,239960,66134,31706,4535,4895
Bexley,E09000004,10.2,25064,12793,12222,6317,5905,32698,19905,125635,118634,10306,4401,1417,2100
Brent,E09000005,4.5,14560,28119,-13683,-57161,43478,46432,18313,175889,232995,89909,46431,3813,3867
Bromley,E09000006,10.4,34120,16781,17189,11771,5418,42858,26077,181611,168738,14440,9022,3071,4174
Camden,E09000007,12.4,30993,15435,15353,-35084,50437,27969,12533,202380,239322,110105,59668,6874,5015
Croydon,E09000008,8,30676,30480,107,-16756,16863,55795,25315,203937,218791,36188,19325,3303,5205
Ealing,E09000009,2.1,7126,27420,-20444,-42053,21609,47497,20077,201362,242606,70583,48975,5273,6081
Enfield,E09000010,8.9,29485,27211,2218,-21645,23863,48389,21178,173351,193997,37085,13222,2415,3414
Greenwich,E09000011,12.7,35571,30333,5110,-15514,20625,46486,16152,185297,200583,39697,19072,4249,4478
Hackney,E09000012,13.3,36234,34899,983,-16172,17155,46626,11727,195440,212295,45191,28036,4757,4073
Hammersmith and Fulham,E09000013,0.1,252,12500,-12423,-17558,5135,21984,9484,156796,175544,48452,43317,5237,4047
Haringey,E09000014,8.2,22424,27806,-5594,-37759,32164,40382,12576,207661,244846,67232,35067,4116,4690
Harrow,E09000015,4,9900,17269,-7482,-26645,19162,32878,15609,136289,162278,38053,18891,2389,3045
Havering,E09000016,12.4,31526,11161,20312,15189,5122,34311,23150,123943,108197,10190,5068,1296,1853
Hillingdon,E09000017,11.2,33554,24356,9207,-16707,25915,43912,19556,167674,183730,46731,20816,3873,4524
Hounslow,E09000018,6,16167,24482,-8441,-32357,23916,39806,15324,151965,183873,48417,24500,4390,4840
Islington,E09000019,11,25433,19671,5487,-31311,36798,30831,11160,199958,233222,72808,36009,6585,4632
Kensington and Chelsea,E09000020,-1.1,-1683,6577,-8353,-9683,1330,15592,9015,105130,115665,41196,39867,3052,2199
Kingston upon Thames,E09000021,11.3,19609,11977,7583,-5145,12728,23008,11031,124015,129147,29384,16656,3292,3306
Lambeth,E09000022,5.5,17682,32643,-15523,-28829,13306,47399,14757,300706,333084,62972,49665,9905,6355
Lewisham,E09000023,11.2,33582,34887,-1569,-19795,18226,50248,15361,223542,242636,43787,25561,4969,5670
Merton,E09000024,5.3,11031,19557,-8690,-13775,5085,32091,12534,151263,165044,30283,25197,3571,3566
Newham,E09000025,10.4,35888,46677,-11099,-94636,83537,61032,14355,189216,282747,117694,34157,3717,4822
Redbridge,E09000026,10.7,32270,28684,3473,-26021,29495,46690,18007,185924,210392,45925,16430,2355,3908
Richmond upon Thames,E09000027,7.3,14231,12634,1483,1633,-149,25250,12616,135755,133859,16549,16698,4155,4418
Southwark,E09000028,9.1,28295,34905,-6882,-35360,28478,48814,13909,254802,291517,74362,45883,7331,5976
Sutton,E09000029,9.1,18463,11277,7102,4743,2359,26429,15153,109800,104568,9400,7041,1984,2473
Tower Hamlets,E09000030,17.8,53568,36368,16919,-40147,57066,48300,11932,215712,257855,106210,49144,6809,4814
Waltham Forest,E09000031,7.5,20685,30801,-10271,-46777,36506,45629,14828,154267,199726,62796,26291,2367,3685
Wandsworth,E09000032,5.1,16433,37215,-21235,-24268,3033,52870,15656,296115,324513,56800,53768,11413,7284
Westminster,E09000033,7.9,19126,13145,5811,-48174,53985,25594,12449,170362,219761,127606,73621,5309,4084
