MSOA11CD,07/03/2020,14/03/2020,05/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,13/06/2020
E02000068,,6,,5,1,,,,,,,,,
E02000013,,6,,5,1,,,,,,,,,
E02000070,,6,,5,1,,,,,,,,,
E02000071,,6,,5,1,,,,,,,,,
E02000072,,6,,5,1,,,,,,,,,
E02000073,,6,,5,1,,,,,,,,,
E02000074,,6,,5,1,,,,,,,,,
E02000075,,6,,5,1,,,,,,,,,
E02000077,,6,,5,1,,,,,,,,,
E02000078,,6,,5,1,,,,,,,,,
E02000079,,6,,5,1,,,,,,,,,
E02000080,,6,,5,,,,,,,,,,
E02000081,,6,,5,1,,,,,,,,,
E02000082,,6,,5,,,,,,,,,,
E02000083,,6,,5,1,,,,,,,,,
E02000084,,6,,5,1,,,,,,,,,
E02000085,,6,,5,,,,,,,,,,
E02000086,,6,,5,,9,,,,,,,,
E02000087,,6,,5,1,,,,,,,,,
E02000088,,6,,5,,,,,,,,,,
E02000089,,6,5,5,5,9,,,,,,,,
E02000090,,6,5,5,5,9,,,,,,,,
E02000091,,6,,5,5,9,,,,,,,,
E02000092,,6,,5,5,,,,,,,,,
E02000093,,8,1,1,,10,,,,,,,,
E02000094,,,1,1,,10,,,,,,,,
E02000095,,8,1,1,,10,,,,,,,,
E02000096,,8,1,1,,10,,,,,,,,
E02000097,,,1,1,,10,,,,,,,,
E02000098,,8,1,1,,10,,,,,,,,
E02000099,,8,1,1,,10,,,,,,,,
E02000100,,8,1,1,,10,,,,,,,,
E02000101,,,1,1,,10,,,,,,,,
E02000102,,,1,1,,10,,,,,,,,
E02000103,,,,1,,10,,,,,,,,
E02000104,,8,1,1,,10,,,,,,,,
E02000105,,8,1,12,,10,,,,,,,,
E02000106,,,,1,,10,,,,,,,,
E02000107,,,,1,,,,,,,,,,
E02000108,,8,1,12,,10,,,,,,,,
E02000109,,,,12,,10,,,,,,,,
E02000110,,,,12,,,,,,,,,,
E02000111,,8,,12,,10,,,,,,,,
E02000112,,8,,12,,10,,,,,,,,
E02000113,,,,12,,10,,,,,,,,
E02000114,,,,12,,,,,,,,,,
E02000115,,,,12,,,,,,,,,,
E02000116,,,,12,,10,,,,,,,,
E02000117,,,6,12,,10,,,,,,,,
E02000118,,,6,12,,10,,,,,,,,
E02000119,,,6,12,,10,,,,,,,,
E02000120,,,,12,,,,,,,,,,
E0200015,,8,6,12,,10,,,,,,,,
E0200013,,,,12,,,,,,,,,,
E02000123,,,6,12,,10,,,,,,,,
E02000124,,,6,12,,,,,,,,,,
E02000125,,,6,12,,,,,,,,,,
E0200014,,,,12,,,,,,,,,,
E02000127,,6,5,5,5,9,,,,,,,,
E02000128,,6,5,5,5,9,,,,,,,,
E02000130,,7,5,10,5,9,,,,,,,,
E02000131,,7,5,10,5,9,,,,,,,,
E02000132,,,5,5,5,9,,,,,,,,
E02000133,,6,5,5,5,9,,,,,,,,
E02000134,,,5,5,5,9,,,,,,,,
E02000135,,7,5,10,5,9,,,,,,,,
E02000136,,6,5,5,5,9,,,,,,,,
E02000137,,,5,5,5,9,,,,,,,,
E02000138,,,5,5,5,9,,,,,,,,
E02000139,,,5,5,5,9,,,,,,,,
E02000140,,6,5,5,5,9,,,,,,,,
E02000141,,7,5,10,5,9,,,,,,,,
E02000142,,,5,5,5,9,,,,,,,,
E02000144,,,5,5,5,9,,,,,,,,
E02000145,,6,,5,5,,,,,,,,,
E02000146,,,5,5,5,9,,,,,,,,
E02000147,,,5,5,5,9,,,,,,,,
E02000148,,,5,5,5,9,,,,,,,,
E02000149,,6,5,5,5,9,,,,,,,,
E02000150,,,5,5,5,9,,,,,,,,
E02000151,,,5,5,5,9,,,,,,,,
E02000152,,,5,5,5,9,,,,,,,,
E02000153,,,5,5,5,9,,,,,,,,
E02000154,,,5,5,5,9,,,,,,,,
E02000155,,,5,5,5,,,,,,,,,
E02000156,,,5,5,5,9,,,,,,,,
E02000157,,,5,5,5,9,,,,,,,,
E02000158,,,5,5,5,,,,,,,,,
E02000159,,,5,5,5,9,,,,,,,,
E02000160,,,5,5,5,9,,,,,,,,
E02000161,,,5,5,5,9,,,,,,,,
E02000162,,,5,5,5,9,,,,,,,,
E02000163,,,5,5,5,8,,,,,,,,
E02000165,,,5,5,5,8,,,,,,,,
E02000166,,,,1,,,,,,,,,,
E02000167,,,,1,,,,,,,,,,
E02000168,,,,12,,,,,,,,,,
E02000113,,,,1,,,,,,,,,,
E02000170,,,,12,,,,,,,,,,
E02000171,,,,12,,,,,,,,,,
E02000172,,,,12,,,,,,,,,,
E02000173,,,,12,,,,,,,,,,
E02000174,,,,12,,,,,,,,,,
E02000175,,,,12,,,,,,,,,,
E02000176,,,,12,,,,,,,,,,
E02000177,,,,12,,,,,,,,,,
E02000178,,,,12,,,,,,,,,,
E02000179,,,,12,,,,,,,,,,
E02000180,,,,12,,,,,,,,,,
E02000181,,,,12,,,,,,,,,,
E02000182,,,,12,,,,,,,,,,
E02000183,,,,12,,,,,,,,,,
E02000184,,,,12,,,,,,,,,,
E02000185,,,,12,,,,,,,,,,
E02000186,,,,12,,,,,,,,,,
E02000187,,7,,12,,,,,,,,,,
E02000188,,7,,12,,,,,,,,,,
E02000189,,7,,,,,,,,,,,,
E02000190,,7,,,,,,,,,,,,
E02000191,,7,,,,,,,,,,,,
E02000192,,7,,,,,,,,,,,,
E02000193,,7,,,,,,,,,,,,
E02000194,,7,5,10,5,9,,,,,,,,
E02000195,,7,5,7,5,9,,,,,,,,
E02000196,,7,5,7,5,9,,,,,,,,
E02000197,,7,5,7,5,9,,,,,,,,
E02000198,,7,5,7,5,9,,,,,,,,
E02000199,,7,5,10,5,9,,,,,,,,
E02000200,,7,5,10,5,9,,,,,,,,
E02000201,,7,5,10,5,9,,,,,,,,
E02000202,,7,5,7,5,9,,,,,,,,
E02000203,,7,5,10,5,9,,,,,,,,
E02000204,,7,5,7,5,9,,,,,,,,
E02000206,,7,5,10,5,9,,,,,,,,
E02000207,,,5,10,5,9,,,,,,,,
E02000208,,,5,7,5,9,,,,,,,,
E02000209,,7,5,7,5,9,,,,,,,,
E0200050,,,5,10,5,9,,,,,,,,
E0200051,,,5,5,5,9,,,,,,,,
E0200052,,,5,7,5,9,,,,,,,,
E0200053,,,5,10,5,9,,,,,,,,
E0200054,,,5,10,5,9,,,,,,,,
E0200055,,,5,10,5,9,,,,,,,,
E0200056,,,5,10,5,9,,,,,,,,
E0200057,,,5,10,5,9,,,,,,,,
E0200058,,,5,5,5,9,,,,,,,,
E0200059,,,5,5,5,9,,,,,,,,
E0200030,,,5,10,5,9,,,,,,,,
E0200031,,,5,10,5,9,,,,,,,,
E0200032,,,5,10,5,9,,,,,,,,
E0200033,,,5,5,5,9,,,,,,,,
E0200034,,,5,10,5,9,,,,,,,,
E0200035,,,5,5,5,9,,,,,,,,
E0200036,,,5,10,5,9,,,,,,,,
E0200037,,,5,5,5,9,,,,,,,,
E0200038,,,5,10,5,9,,,,,,,,
E0200039,,,5,5,5,9,,,,,,,,
E02000230,,,5,10,5,8,,,,,,,,
E02000231,,,5,7,5,,,,,,,,,
E02000232,,,5,10,5,8,,,,,,,,
E02000233,,,5,10,5,,,,,,,,,
E02000234,,,5,7,5,,,,,,,,,
E02000235,,,5,10,5,8,,,,,,,,
E02000236,,,5,7,5,,,,,,,,,
E02000237,,,5,10,5,7,,,,,,,,
E02000238,,8,1,12,,10,,,,,,,,
E02000239,,8,,12,,10,,,,,,,,
E02000240,,8,,,,10,,,,,,,,
E02000241,,8,,,,10,,,,,,,,
E02000242,,8,6,12,,10,,,,,,,,
E02000243,,8,6,,,10,,,,,,,,
E02000244,,8,6,,,10,,,,,,,,
E02000245,,8,6,,,10,,,,,,,,
E02000246,,,,,,10,,,,,,,,
E02000247,,8,6,,,10,,,,,,,,
E02000248,,,6,,,10,,,,,,,,
E02000249,,8,6,,,10,,,,,,,,
E02000250,,,6,,,10,,,,,,,,
E02000251,,,6,,,10,,,,,,,,
E02000252,,,6,,,10,,,,,,,,
E02000253,,,6,,,10,,,,,,,,
E02000254,,,6,,,10,,,,,,,,
E02000255,,,6,,,10,,,,,,,,
E02000256,,,6,,,10,,,,,,,,
E02000257,,,6,,,10,,,,,,,,
E02000258,,,6,,,10,,,,,,,,
E02000259,,,6,,,10,,,,,,,,
E0200040,,,6,,,10,,,,,,,,
E0200041,,,6,,,,,,,,,,,
E0200042,,,6,,,10,,,,,,,,
E0200043,,,6,,,10,,,,,,,,
E0200044,,,6,,,10,,,,,,,,
E0200045,,,6,,,10,,,,,,,,
E0200046,,,6,,,10,,,,,,,,
E0200047,,,6,,,10,,,,,,,,
E0200048,,,6,,,10,,,,,,,,
E0200053,,,6,,,10,,,,,,,,
E02000270,,,6,,,10,,,,,,,,
E02000271,,,6,,,,,,,,,,,
E02000272,,,6,,,10,,,,,,,,
E02000274,,,6,,,4,,,,,,,,
E02000275,,,6,,,10,,,,,,,,
E02000276,,,6,,,10,,,,,,,,
E02000277,,5,1,1,,,,,,,,,,
E02000278,,5,1,1,,,,,,,,,,
E02000279,,5,1,1,1,,,,,,,,,
E02000280,,5,1,1,,6,,,,,,,,
E02000281,,5,1,1,,,,,,,,,,
E02000282,,5,1,1,,,,,,,,,,
E02000283,,5,1,1,,,,,,,,,,
E02000284,,5,1,1,,6,,,,,,,,
E02000285,,5,1,1,,,,,,,,,,
E02000286,,5,1,1,,6,,,,,,,,
E02000287,1,5,1,1,,6,,,,,,,,
E02000288,,5,1,1,,,,,,,,,,
E02000289,,5,1,1,,6,,,,,,,,
E0200060,,5,1,1,,,,,,,,,,
E0200061,,5,1,1,,,,,,,,,,
E0200062,,5,1,1,,,,,,,,,,
E0200063,,5,1,1,,6,,,,,,,,
E0200064,,5,1,1,,,,,,,,,,
E0200065,,5,1,1,,6,,,,,,,,
E0200066,,5,1,1,,6,,,,,,,,
E0200067,,5,1,1,,,,,,,,,,
E0200068,,5,1,1,,6,,,,,,,,
E0200069,,5,1,1,,,,,,,,,,
E02000300,,5,1,1,,,,,,,,,,
E02000301,,5,1,1,,,,,,,,,,
E02000302,,5,1,1,,,,,,,,,,
E02000303,,5,1,1,,,,,,,,,,
E02000304,,5,1,1,,6,,,,,,,,
E02000305,,5,1,1,,6,,,,,,,,
E02000306,,5,1,1,,,,,,,,,,
E02000307,,5,1,1,,,,,,,,,,
E02000308,,5,1,1,,6,,,,,,,,
E02000309,,5,,1,,,,,,,,,,
E02000311,,5,1,1,,,,,,,,,,
E02000312,,5,1,1,,,,,,,,,,
E02000313,,6,,5,1,,,,,,,,,
E02000314,,6,,5,1,,,,,,,,,
E02000315,,6,,5,1,,,,,,,,,
E02000316,,6,,5,,,,,,,,,,
E02000317,,6,,5,,,,,,,,,,
E02000318,,6,,5,1,,,,,,,,,
E02000319,,6,,5,,,,,,,,,,
E02000320,,6,,5,1,,,,,,,,,
E0200035,,6,,5,,,,,,,,,,
E02000323,,6,,5,,,,,,,,,,
E02000324,,6,,5,,9,,,,,,,,
E0200034,,6,5,5,,9,,,,,,,,
E02000327,,6,,5,,,,,,,,,,
E02000328,,6,5,5,,9,,,,,,,,
E0200036,,6,,5,,,,,,,,,,
E02000331,,6,5,5,,9,,,,,,,,
E02000332,,6,,5,,,,,,,,,,
E02000333,,6,5,5,,9,,,,,,,,
E02000334,,6,5,5,,9,,,,,,,,
E02000335,,6,5,5,,9,,,,,,,,
E02000337,,6,5,5,,9,,,,,,,,
E02000339,,6,5,5,,9,,,,,,,,
E02000340,,6,5,5,,9,,,,,,,,
E02000341,,6,5,5,5,9,,,,,,,,
E02000342,,6,5,5,,9,,,,,,,,
E02000343,,6,5,5,5,9,,,,,,,,
E02000344,,6,5,5,5,9,,,,,,,,
E02000345,,,,1,,,,,,,,,,
E02000346,,,,1,,,,,,,,,,
E02000347,,,,1,,,,,,,,,,
E02000348,,,,1,,,,,,,,,,
E02000350,,,,12,,,,,,,,,,
E02000351,,,,12,,,,,,,,,,
E02000352,,,,12,,,,,,,,,,
E02000353,,,,12,,,,,,,,,,
E02000354,,,,12,,,,,,,,,,
E02000355,,,,12,,,,,,,,,,
E02000356,,,,12,,,,,,,,,,
E02000357,,,,8,,,,,,,,,,
E02000358,,,,12,,,,,,,,,,
E02000359,,,,8,,,,,,,,,,
E02000360,,,,12,,,,,,,,,,
E02000361,,,,8,,,,,,,,,,
E02000362,,,,8,,,,,,,,,,
E02000363,,,,8,,,,,,,,,,
E02000364,,,,12,,,,,,,,,,
E02000365,,,,12,,,,,,,,,,
E02000366,,,,8,,,,,,,,,,
E02000367,,,,8,,,,,,,,,,
E02000368,,,,8,,,,,,,,,,
E02000313,,,,8,,,,,,,,,,
E02000370,,,,8,,,,,,,,,,
E02000371,,,,8,,,,,,,,,,
E02000372,,,6,,,,,,,,,,,
E02000373,,,6,,,,,,,,,,,
E02000374,,,6,,,,,,,,,,,
E02000375,,,6,,,,,,,,,,,
E02000376,,,6,,,,,,,,,,,
E02000377,,,6,,,,,,,,,,,
E02000378,,7,6,,,,,,,,,,,
E02000379,,,6,,,15,,,,,,,,
E02000380,,7,6,,,,,,,,,,,
E02000381,,7,6,,,,,,,,,,,
E02000382,,,6,,,,,,,,,,,
E02000383,,7,6,,,,,,,,,,,
E02000384,,7,6,,,,,,,,,,,
E02000385,,7,6,,,,,,,,,,,
E02000386,,7,6,7,7,,,,,,,,,
E02000387,,7,6,7,5,,,,,,,,,
E02000388,,7,5,7,5,,,,,,,,,
E02000389,,7,6,7,5,,,,,,,,,
E02000390,,7,6,7,5,,,,,,,,,
E02000391,,7,5,7,5,,,,,,,,,
E02000392,,7,5,7,5,,,,,,,,,
E02000393,,7,5,7,5,,,,,,,,,
E02000394,,7,5,7,5,,,,,,,,,
E02000395,,7,5,7,5,,,,,,,,,
E02000396,,7,5,7,5,,,,,,,,,
E02000397,,5,1,1,,,,,,,,,,
E02000398,,5,,1,,,,,,,,,,
E02000400,,5,1,1,,,,,,,,,,
E02000401,,5,1,1,,,,,,,,,,
E02000402,,5,,1,,,,,,,,,,
E02000403,,5,1,1,,,,,,,,,,
E02000404,,5,1,1,,,,,,,,,,
E02000405,,5,1,1,,,,,,,,,,
E02000406,,5,,1,,,,,,,,,,
E02000407,,5,,1,,,,,,,,,,
E02000408,,5,,1,,,,,,,,,,
E02000409,,5,,1,,,,,,,,,,
E02000410,,,1,1,,,,,,,,,,
E02000411,,5,,1,,,,,,,,,,
E02000412,,5,,1,,,,,,,,,,
E02000413,,,1,1,,,,,,,,,,
E02000414,,5,,1,,,,,,,,,,
E02000415,,5,,1,,,,,,,,,,
E02000416,,,,1,,,,,,,,,,
E02000417,,,1,1,,,,,,,,,,
E02000418,,,,1,,,,,,,,,,
E02000419,,,,1,,,,,,,,,,
E02000420,,5,,1,,,,,,,,,,
E0200045,,5,,1,,,,,,,,,,
E0200043,,,,1,,,,,,,,,,
E02000423,,,,1,,,,,,,,,,
E02000424,,,,1,,,,,,,,,,
E02000425,,,,1,,,,,,,,,,
E0200044,,,,1,,,,,,,,,,
E02000427,,,,1,,,,,,,,,,
E02000428,,,,1,,,,,,,,,,
E0200046,,,,1,,,,,,,,,,
E02000430,,,,1,,,,,,,,,,
E02000431,,,,1,,,,,,,,,,
E02000432,,,,1,,,,,,,,,,
E02000433,1,8,1,1,,,,,,,,,,
E02000434,1,8,1,1,,,,,,,,,,
E02000435,1,8,1,1,,,,,,,,,,
E02000436,1,8,1,1,,,,,,,,,,
E02000437,1,8,1,1,,10,,,,,,,,
E02000438,1,8,1,1,,10,,,,,,,,
E02000439,,,1,1,,10,,,,,,,,
E02000440,1,8,1,1,,10,,,,,,,,
E02000441,1,8,1,1,,,,,,,,,,
E02000442,,8,1,1,,10,,,,,,,,
E02000443,1,8,1,1,,10,,,,,,,,
E02000444,,8,1,1,,10,,,,,,,,
E02000445,,8,1,1,,10,,,,,,,,
E02000447,1,8,1,1,,10,,,,,,,,
E02000448,1,8,1,1,,10,,,,,,,,
E02000449,,8,1,1,,10,,,,,,,,
E02000451,1,8,1,1,,10,,,,,,,,
E02000452,,8,1,1,,10,,,,,,,,
E02000453,,8,1,1,,10,,,,,,,,
E02000454,,8,1,1,,10,,,,,,,,
E02000455,,8,1,1,,10,,,,,,,,
E02000456,,8,1,1,,10,,,,,,,,
E02000457,,8,1,1,,10,,,,,,,,
E02000459,,8,1,1,,10,,,,,,,,
E02000460,,8,1,12,,10,,,,,,,,
E02000461,,8,1,1,,10,,,,,,,,
E02000462,,8,1,12,,10,,,,,,,,
E02000463,,8,1,12,,10,,,,,,,,
E02000464,,,,5,1,1,,,,,,,,
E02000465,,,,5,1,1,,,,,,,,
E02000466,,,,5,1,1,,,,,,,,
E02000467,,,,5,1,1,,,,,,,,
E02000468,,,,5,1,1,,,,,,,,
E02000413,,,,5,1,1,,,,,,,,
E02000470,,,,5,1,1,,,,,,,,
E02000471,,,,5,1,1,,,,,,,,
E02000472,,6,,5,1,1,,,,,,,,
E02000473,,6,,5,1,1,,,,,,,,
E02000474,,6,,5,1,1,,,,,,,,
E02000475,,6,,5,1,1,,,,,,,,
E02000476,,6,,5,1,1,,,,,,,,
E02000477,,6,,5,1,1,,,,,,,,
E02000478,,6,,5,1,1,,,,,,,,
E02000479,,6,,5,1,1,,,,,,,,
E02000480,,6,,5,1,1,,,,,,,,
E02000481,,6,,5,1,1,,,,,,,,
E02000482,,6,,5,1,1,,,,,,,,
E02000483,,6,,5,1,1,,,,,,,,
E02000484,,6,,5,1,1,,,,,,,,
E02000485,,6,,5,1,1,,,,,,,,
E02000486,,6,,5,1,1,,,,,,,,
E02000487,,6,,5,1,1,,,,,,,,
E02000488,,6,,5,1,1,,,,,,,,
E02000489,,6,,5,1,1,,,,,,,,
E02000490,,6,,5,1,,,,,,,,,
E02000491,,6,,5,1,,,,,,,,,
E02000492,,6,,5,1,,,,,,,,,
E02000493,,6,,5,1,,,,,,,,,
E02000494,1,,1,1,8,2,,,,,,,,
E02000495,1,8,1,1,,,,,,,,,,
E02000496,1,,1,1,2,2,,,,,,,,
E02000497,1,8,1,1,,,,,,,,,,
E02000498,1,,1,,,,,,,,,,,
E02000499,,8,1,1,,10,,,,,,,,
E02000500,1,8,1,,,,,,,,,,,
E02000501,,8,1,,,10,,,,,,,,
E02000502,,8,1,,,10,,,,,,,,
E02000503,,8,1,,,10,,,,,,,,
E02000504,,,1,,,,,,,,,,,
E02000508,,2,,,2,2,,,,,,,,
E02000509,,2,,,2,2,,,,,,,,
E02000513,,,6,,,10,,,,,,,,
E02000514,,,6,,,10,,,,,,,,
E02000515,,2,,,,,,,,,,,,
E02000516,,,6,,,10,,,,,,,,
E02000518,,2,,,,,,,,,,,,
E02000519,,,6,,,,,,,,,,,
E02000520,,,6,,,,,,,,,,,
E0200055,,2,6,,,,,,,,,,,
E0200053,,2,,,,,,,,,,,,
E02000523,,,6,,,,,,,,,,,
E02000524,,2,6,,,,,,,,,,,
E02000525,,,6,,,,,,,,,,,
E0200054,,,6,,,,,,,,,,,
E02000528,,,6,,,,,,,,,,,
E0200056,,,6,,,,,,,,,,,
E02000530,,,6,,,,,,,,,,,
E02000531,,,6,,,,,,,,,,,
E02000532,,,6,,7,,,,,,,,,
E02000533,,,6,,,,,,,,,,,
E02000534,,,6,,,,,,,,,,,
E02000535,,,6,,,,,,,,,,,
E02000536,,,6,,,,,,,,,,,
E02000537,,,6,,,,,,,,,,,
E02000538,,,6,,,,,,,,,,,
E02000539,,,6,,5,,,,,,,,,
E02000540,,,6,,5,,,,,,,,,
E02000541,,,6,,,,,,,,,,,
E02000542,,,6,,5,,,,,,,,,
E02000543,,,6,,5,,,,,,,,,
E02000544,,,6,,5,,,,,,,,,
E02000545,,,6,,5,,,,,,,,,
E02000546,,,6,,5,,,,,,,,,
E02000547,,,6,,5,,,,,,,,,
E02000548,,2,6,,5,,,,,,,,,
E02000549,,,6,,5,,,,,,,,,
E02000550,,,6,,5,,,,,,,,,
E02000551,,,6,,5,,,,,,,,,
E02000552,,,6,,5,,,,,,,,,
E02000553,,,6,,5,,,,,,,,,
E02000554,,,,1,,,,,,,,,,
E02000555,,,,1,,,,,,,,,,
E02000556,,,,1,,,,,,,,,,
E02000557,,,,1,,,,,,,,,,
E02000558,,,,1,,,,,,,,,,
E02000559,,,,12,,,,,,,,,,
E02000560,,,,12,,,,,,,,,,
E02000561,,,,12,,,,,,,,,,
E02000562,,,,12,,,,,,,,,,
E02000563,,,,12,,,,,,,,,,
E02000564,,,,12,,,,,,,,,,
E02000565,,,,12,,,,,,,,,,
E02000566,,,,12,,,,,,,,,,
E02000567,,,,12,,,,,,,,,,
E02000568,,,,12,,,,,,,,,,
E02000513,,,,12,,,,,,,,,,
E02000570,,,,12,,,,,,,,,,
E02000571,,,,12,,,,,,,,,,
E02000572,,,,12,,,,,,,,,,
E02000573,,,,12,,,,,,,,,,
E02000574,,7,,,,,,,,,,,,
E02000575,,7,,,,,,,,,,,,
E02000576,,7,,,,,,,,,,,,
E02000577,,,6,12,,,,,,,,,,
E02000578,,,6,12,,,,,,,,,,
E02000579,,,6,,,,,,,,,,,
E02000580,,7,6,,,,,,,,,,,
E02000581,,7,6,,,,,,,,,,,
E02000582,,7,6,,,,,,,,,,,
E02000583,,7,6,,,,,,,,,,,
E02000584,,7,6,,,,,,,,,,,
E02000585,,7,6,,,,,,,,,,,
E02000586,,7,6,,,,,,,,,,,
E02000587,,7,6,,,,,,,,,,,
E02000588,,7,5,7,,,,,,,,,,
E02000589,,7,6,,,,,,,,,,,
E02000590,,7,5,7,,,,,,,,,,
E02000591,,7,6,,,,,,,,,,,
E02000592,,7,6,7,,,,,,,,,,
E02000593,,7,6,7,,,,,,,,,,
E02000594,,7,5,7,7,,,,,,,,,
E02000595,,7,5,7,5,,,,,,,,,
E02000596,,7,5,7,5,,,,,,,,,
E02000597,,7,5,7,5,,,,,,,,,
E02000598,,,6,7,5,,,,,,,,,
E02000599,,,5,7,5,14,,,,,,,,
E02000600,,,6,7,5,,,,,,,,,
E02000601,,,6,7,5,,,,,,,,,
E02000602,,,6,7,5,,,,,,,,,
E02000603,,,5,7,5,,,,,,,,,
E02000604,,,5,7,5,,,,,,,,,
E02000605,,,5,7,5,,,,,,,,,
E02000606,,,6,7,5,,,,,,,,,
E02000607,,,6,7,5,,,,,,,,,
E02000608,,,6,7,5,,,,,,,,,
E02000609,,,5,7,5,,,,,,,,,
E02000610,,,6,7,5,,,,,,,,,
E02000611,,,5,7,5,,,,,,,,,
E02000612,,,5,7,5,,,,,,,,,
E02000613,,,6,7,5,,,,,,,,,
E02000614,,,5,7,5,,,,,,,,,
E02000615,,,6,7,5,,,,,,,,,
E02000616,,,6,7,5,,,,,,,,,
E02000617,,,6,7,5,,,,,,,,,
E02000619,,7,5,7,,,,,,,,,,
E02000620,,7,5,7,,,,,,,,,,
E0200065,,7,5,7,5,,,,,,,,,
E0200063,,7,5,7,5,,,,,,,,,
E02000623,,7,5,7,5,,,,,,,,,
E02000624,,7,5,7,5,,,,,,,,,
E02000625,,7,5,7,5,,,,,,,,,
E0200064,,7,5,7,5,9,,,,,,,,
E02000627,,7,5,7,5,,,,,,,,,
E02000628,,7,5,7,5,,,,,,,,,
E0200066,,7,5,7,5,,,,,,,,,
E02000630,,7,5,7,5,,,,,,,,,
E02000631,,7,5,7,5,9,,,,,,,,
E02000632,,7,5,7,5,,,,,,,,,
E02000633,,7,5,7,5,9,,,,,,,,
E02000634,,7,5,7,5,16,,,,,,,,
E02000635,,7,5,7,5,9,,,,,,,,
E02000636,,7,5,7,5,,,,,,,,,
E02000637,,7,5,7,5,9,,,,,,,,
E02000638,,7,5,7,5,9,,,,,,,,
E02000639,,7,5,7,5,9,,,,,,,,
E02000640,,7,5,7,5,,,,,,,,,
E02000641,,7,5,7,5,9,,,,,,,,
E02000642,,7,5,7,5,9,,,,,,,,
E02000643,,7,5,7,5,9,,,,,,,,
E02000644,,7,5,7,5,9,,,,,,,,
E02000645,,7,5,7,5,9,,,,,,,,
E02000646,,7,5,7,5,9,,,,,,,,
E02000647,,7,5,7,5,9,,,,,,,,
E02000648,,7,5,7,5,9,,,,,,,,
E02000649,,7,5,7,5,9,,,,,,,,
E02000650,,7,5,10,5,9,,,,,,,,
E02000651,,7,5,7,5,9,,,,,,,,
E02000652,,7,5,7,5,9,,,,,,,,
E02000653,,7,5,7,,9,,,,,,,,
E02000654,,7,5,10,,9,,,,,,,,
E02000655,,7,5,7,,9,,,,,,,,
E02000657,,7,5,10,,9,,,,,,,,
E02000658,,7,5,10,5,9,,,,,,,,
E02000659,,,5,5,,9,,,,,,,,
